row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm tin học,Tổng,numeric__Quyền sử dụng đất,numeric__Phần mềm tin học,numeric__Tổng
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,
Số dư tại 01/01/2016,NGUYÊN GIÁ > Số dư tại 01/01/2016,Số dư tại 01/01/2016,102.878.251,553.581.637,656.459.888,102878251.0,553581637.0,656459888.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,-,186.168.000,186.168.000,,186168000.0,186168000.0
Mua trong năm,NGUYÊN GIÁ > Mua trong năm,Mua trong năm,-,186.168.000,186.168.000,,186168000.0,186168000.0
Giảm trong năm,Giảm trong năm,Giảm trong năm,-,-,-,,,
Số dư tại 31/12/2016,Giảm trong năm > Số dư tại 31/12/2016,Số dư tại 31/12/2016,102.878.251,739.749.637,842.627.888,102878251.0,739749637.0,842627888.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,
Số dư tại 01/01/2016,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư tại 01/01/2016,Số dư tại 01/01/2016,38.673.408,536.293.333,574.966.741,38673408.0,536293333.0,574966741.0
Tăng trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Tăng trong năm,Tăng trong năm,4.286.592,14.166.671,18.453.263,4286592.0,14166671.0,18453263.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,4.286.592,14.166.671,18.453.263,4286592.0,14166671.0,18453263.0
Giảm trong năm,Giảm trong năm,Giảm trong năm,-,-,-,,,
Số dư tại 31/12/2016,Giảm trong năm > Số dư tại 31/12/2016,Số dư tại 31/12/2016,42.960.000,550.460.004,593.420.004,42960000.0,550460004.0,593420004.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,
Tại 01/01/2016,GIÁ TRỊ CÒN LẠI > Tại 01/01/2016,Tại 01/01/2016,64.204.843,17.288.304,81.493.147,64204843.0,17288304.0,81493147.0
Tại 31/12/2016,GIÁ TRỊ CÒN LẠI > Tại 31/12/2016,Tại 31/12/2016,59.918.251,189.289.633,249.207.884,59918251.0,189289633.0,249207884.0
