row_label_raw,row_label_full,Giá trị còn lại của tài sản,Năm 2016VND > -,Năm 2015VND > 95.592.868,numeric__Năm 2016VND > -,numeric__Năm 2015VND > 95.592.868
Chi phí khác,Chi phí khác,Chi phí khác,1.639.739.174,2.185.037.803,1639739174.0,2185037803.0
Tổng,Tổng,Tổng,1.639.739.174,2.280.630.671,1639739174.0,2280630671.0
