row_label_raw,row_label_full,CHỈ TIÊU,MS,Năm 2016VND,Năm 2015VND,numeric__MS,numeric__Năm 2016VND,numeric__Năm 2015VND
I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,,,
Lợi nhuận trước thuế,I. Lưu chuyển tiền từ hoạt động kinh doanh > Lợi nhuận trước thuế,Lợi nhuận trước thuế,01,477.288.875.951,180.123.841.080,1.0,477288875951.0,180123841080.0
Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,,,,,,
- Khấu hao tài sản cố định và BĐS đầu tư,Điều chỉnh cho các khoản > - Khấu hao tài sản cố định và BĐS đầu tư,- Khấu hao tài sản cố định và BĐS đầu tư,02,4.453.202.924,1.146.837.557,2.0,4453202924.0,1146837557.0
- Các khoản dự phòng,Điều chỉnh cho các khoản > - Các khoản dự phòng,- Các khoản dự phòng,03,298.099.526,289.957.153,3.0,298099526.0,289957153.0
"- Lãi, lỗ chênh lệch tỷ giá hối đoái chưa thực hiện","Điều chỉnh cho các khoản > - Lãi, lỗ chênh lệch tỷ giá hối đoái chưa thực hiện","- Lãi, lỗ chênh lệch tỷ giá hối đoái chưa thực hiện",04,-,-,4.0,,
"- Lãi, lỗ từ hoạt động đầu tư","Điều chỉnh cho các khoản > - Lãi, lỗ từ hoạt động đầu tư","- Lãi, lỗ từ hoạt động đầu tư",05,(128.429.924.060),(96.437.504.241),5.0,-128429924060.0,-96437504241.0
- Chi phí lãi vay,Điều chỉnh cho các khoản > - Chi phí lãi vay,- Chi phí lãi vay,06,47.576.819.248,24.302.066.171,6.0,47576819248.0,24302066171.0
Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,Điều chỉnh cho các khoản > Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,401.187.073.589,109.425.197.720,8.0,401187073589.0,109425197720.0
"- Tăng, giảm các khoản phải thu","Điều chỉnh cho các khoản > - Tăng, giảm các khoản phải thu","- Tăng, giảm các khoản phải thu",09,(86.574.214.587),(173.952.048.167),9.0,-86574214587.0,-173952048167.0
"- Tăng, giảm hàng tồn kho","Điều chỉnh cho các khoản > - Tăng, giảm hàng tồn kho","- Tăng, giảm hàng tồn kho",10,12.475.563.704,10.680.775.045,10.0,12475563704.0,10680775045.0
"- Tăng, giảm các khoản phải trả","Điều chỉnh cho các khoản > - Tăng, giảm các khoản phải trả","- Tăng, giảm các khoản phải trả",11,472.840.075.326,726.720.410.140,11.0,472840075326.0,726720410140.0
"- Tăng, giảm chi phí trả trước","Điều chỉnh cho các khoản > - Tăng, giảm chi phí trả trước","- Tăng, giảm chi phí trả trước",12,1.357.829.518,547.006.754,12.0,1357829518.0,547006754.0
- Tiền lãi vay đã trả,Điều chỉnh cho các khoản > - Tiền lãi vay đã trả,- Tiền lãi vay đã trả,14,(47.576.819.248),(24.302.066.171),14.0,-47576819248.0,-24302066171.0
- Thuế thu nhập doanh nghiệp đã nộp,Điều chỉnh cho các khoản > - Thuế thu nhập doanh nghiệp đã nộp,- Thuế thu nhập doanh nghiệp đã nộp,15,(70.897.611.503),-,15.0,-70897611503.0,
- Tiền thu khác từ hoạt động kinh doanh,Điều chỉnh cho các khoản > - Tiền thu khác từ hoạt động kinh doanh,- Tiền thu khác từ hoạt động kinh doanh,16,4.902.687.957,-,16.0,4902687957.0,
- Tiền chi khác từ hoạt động kinh doanh,Điều chỉnh cho các khoản > - Tiền chi khác từ hoạt động kinh doanh,- Tiền chi khác từ hoạt động kinh doanh,17,(3.435.713.303),-,17.0,-3435713303.0,
Lưu chuyển tiền thuần từ hoạt động kinh doanh,Điều chỉnh cho các khoản > Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,684.278.871.453,649.119.275.321,20.0,684278871453.0,649119275321.0
II. Lưu chuyển tiền từ hoạt động đầu tư,II. Lưu chuyển tiền từ hoạt động đầu tư,II. Lưu chuyển tiền từ hoạt động đầu tư,II. Lưu chuyển tiền từ hoạt động đầu tư,II. Lưu chuyển tiền từ hoạt động đầu tư,II. Lưu chuyển tiền từ hoạt động đầu tư,,,
"Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác","II. Lưu chuyển tiền từ hoạt động đầu tư > Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác","Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",21,(491.914.194.058),(452.414.561.300),21.0,-491914194058.0,-452414561300.0
"Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác","II. Lưu chuyển tiền từ hoạt động đầu tư > Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác","Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",22,2.270.000,-,22.0,2270000.0,
"Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","II. Lưu chuyển tiền từ hoạt động đầu tư > Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",23,(838.965.964.435),(17.730.000.000),23.0,-838965964435.0,-17730000000.0
