row_label_raw,row_label_full,col_0,31/12/2016 > Giá gốc,31/12/2016 > Giá trị hợp lý,31/12/2016 > Dự phòng,01/01/2016 > Giá gốc,01/01/2016 > Giá trị hợp lý,01/01/2016 > Dự phòng,numeric__31/12/2016 > Giá gốc,numeric__31/12/2016 > Giá trị hợp lý,numeric__31/12/2016 > Dự phòng,numeric__01/01/2016 > Giá gốc,numeric__01/01/2016 > Giá trị hợp lý,numeric__01/01/2016 > Dự phòng
Đầu tư vào Công ty con,Đầu tư vào Công ty con,Đầu tư vào Công ty con,1.523.831.354.528,1.547.928.337.335,-,1.304.157.984.044,1.331.840.690.770,-,1523831354528.0,1547928337335.0,,1304157984044.0,1331840690770.0,
Công ty TNHH MTV Tasco 6,Công ty TNHH MTV Tasco 6,Công ty TNHH MTV Tasco 6,65.180.000.000,65.980.441.768,-,50.000.000,563.265.512,-,65180000000.0,65980441768.0,,50000000.0,563265512.0,
Công ty CP Tasco Nam Thái,Công ty CP Tasco Nam Thái,Công ty CP Tasco Nam Thái,293.225.151.484,320.417.921.997,-,262.627.781.000,289.139.812.977,-,293225151484.0,320417921997.0,,262627781000.0,289139812977.0,
Công ty TNHH MTV Tasco Quảng Bình,Công ty TNHH MTV Tasco Quảng Bình,Công ty TNHH MTV Tasco Quảng Bình,311.446.945.616,311.545.137.102,-,311.446.945.616,311.540.499.285,-,311446945616.0,311545137102.0,,311446945616.0,311540499285.0,
Công ty TNHH MTV Tasco Nam Định,Công ty TNHH MTV Tasco Nam Định,Công ty TNHH MTV Tasco Nam Định,343.278.019.183,343.283.378.955,-,343.278.019.183,343.283.378.955,-,343278019183.0,343283378955.0,,343278019183.0,343283378955.0,
Công ty CP Tasco Thành Công,Công ty CP Tasco Thành Công,Công ty CP Tasco Thành Công,6.120.000.000,7.434.372.503,-,3.060.000.000,3.611.421.646,-,6120000000.0,7434372503.0,,3060000000.0,3611421646.0,
Công ty CP VETC,Công ty CP VETC,Công ty CP VETC,142.800.709.567,142.747.556.331,-,27.175.709.567,27.182.783.717,-,142800709567.0,142747556331.0,,27175709567.0,27182783717.0,
Công ty TNHH MTV Tasco Hải Phòng,Công ty TNHH MTV Tasco Hải Phòng,Công ty TNHH MTV Tasco Hải Phòng,356.519.528.678,356.519.528.678,-,356.519.528.678,356.519.528.678,-,356519528678.0,356519528678.0,,356519528678.0,356519528678.0,
Công ty TNHH Đào tạo và Tư vấn Tasedu,Công ty TNHH Đào tạo và Tư vấn Tasedu,Công ty TNHH Đào tạo và Tư vấn Tasedu,261.000.000,261.000.000,-,-,-,-,261000000.0,261000000.0,,,,
Công ty TNHH T'Hospital,Công ty TNHH T'Hospital,Công ty TNHH T'Hospital,5.000.000.000,5.000.000.000,-,-,-,-,5000000000.0,5000000000.0,,,,
