row_label_raw,row_label_full,col_0,01/01/2016,Số phải nộp trong năm,Số đã thực nộp trong năm,31/12/2016,numeric__01/01/2016,numeric__Số phải nộp trong năm,numeric__Số đã thực nộp trong năm,numeric__31/12/2016
Phải nộp,Phải nộp,Phải nộp,25.360.194.288,237.566.456.629,234.866.718.522,28.059.932.395,25360194288.0,237566456629.0,234866718522.0,28059932395.0
Thuế giá trị gia tăng,Thuế giá trị gia tăng,Thuế giá trị gia tăng,3.805.737.290,36.716.739.396,40.522.476.686,-,3805737290.0,36716739396.0,40522476686.0,
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,,,-,-,,,,
- Thuế TNDN năm 2016,Thuế thu nhập doanh nghiệp > - Thuế TNDN năm 2016,- Thuế TNDN năm 2016,-,76.111.500.969,48.273.443.873,27.838.057.096,,76111500969.0,48273443873.0,27838057096.0
- Thuế TNDN 2015 và truy thu,Thuế thu nhập doanh nghiệp > - Thuế TNDN 2015 và truy thu,- Thuế TNDN 2015 và truy thu,21.493.631.289,1.130.536.341,22.624.167.630,-,21493631289.0,1130536341.0,22624167630.0,
Thuế thu nhập cá nhân,Thuế thu nhập doanh nghiệp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,60.825.709,12.214.690.296,12.059.009.128,216.506.877,60825709.0,12214690296.0,12059009128.0,216506877.0
"Thuế nhà đất, tiền thuê đất","Thuế thu nhập doanh nghiệp > Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất",,111.383.621.205,111.383.621.205,-,,111383621205.0,111383621205.0,
Thuế khác,Thuế thu nhập doanh nghiệp > Thuế khác,Thuế khác,-,9.368.422,4.000.000,5.368.422,,9368422.0,4000000.0,5368422.0
Phải thu,Thuế thu nhập doanh nghiệp > Phải thu,Phải thu,77.065.000,-,19.868.800,96.933.800,77065000.0,,19868800.0,96933800.0
Thuế giá trị gia tăng nộp thừa,Thuế thu nhập doanh nghiệp > Thuế giá trị gia tăng nộp thừa,Thuế giá trị gia tăng nộp thừa,77.065.000,-,19.868.800,96.933.800,77065000.0,,19868800.0,96933800.0
