row_label_raw,row_label_full,5.23 Doanh thu hoạt động tài chính,5.23 Doanh thu hoạt động tài chính_1,5.23 Doanh thu hoạt động tài chính_2,numeric__5.23 Doanh thu hoạt động tài chính_1,numeric__5.23 Doanh thu hoạt động tài chính_2
,,,Năm 2016VND,Năm 2015VND,,
"Lãi tiền gửi, tiền cho vay","Lãi tiền gửi, tiền cho vay","Lãi tiền gửi, tiền cho vay",25.913.673.611,3.640.736.216,25913673611.0,3640736216.0
"Cổ tức, lợi nhuận được chia","Cổ tức, lợi nhuận được chia","Cổ tức, lợi nhuận được chia",102.515.822.951,92.796.360.893,102515822951.0,92796360893.0
Tổng,Tổng,Tổng,128.429.496.562,96.437.097.109,128429496562.0,96437097109.0
