row_label_raw,row_label_full,col_0,31/12/2016 > Giá trị ghi số,31/12/2016 > Dự phòng,01/01/2016 > Giá trị ghi số,01/01/2016 > Dự phòng,numeric__31/12/2016 > Giá trị ghi số,numeric__31/12/2016 > Dự phòng,numeric__01/01/2016 > Giá trị ghi số,numeric__01/01/2016 > Dự phòng
Ngắn hạn,Ngắn hạn,Ngắn hạn,424.600.795.647,-,159.236.472.901,-,424600795647.0,,159236472901.0,
"- Phải thu cổ tức, lợi nhuận được chia","- Phải thu cổ tức, lợi nhuận được chia","- Phải thu cổ tức, lợi nhuận được chia",66.059.575.111,-,96.625.501.612,-,66059575111.0,,96625501612.0,
"- Ký cược, ký quỹ","- Ký cược, ký quỹ","- Ký cược, ký quỹ",-,-,524.300.000,-,,,524300000.0,
- Tạm ứng,- Tạm ứng,- Tạm ứng,28.771.351.783,-,27.279.605.242,-,28771351783.0,,27279605242.0,
- Phải thu khác,- Phải thu khác,- Phải thu khác,329.769.868.753,-,34.807.066.047,-,329769868753.0,,34807066047.0,
Ban QLDA Quận,Ban QLDA Quận,Ban QLDA Quận,,,,,,,,
Nam Từ Liêm,Ban QLDA Quận > Nam Từ Liêm,Nam Từ Liêm,27.284.014.016,,4.271.802.600,,27284014016.0,,4271802600.0,
Trung tâm phát triển quỹ đất huyện Từ Liêm,Ban QLDA Quận > Trung tâm phát triển quỹ đất huyện Từ Liêm,Trung tâm phát triển quỹ đất huyện Từ Liêm,11.616.738.417,-,14.170.795.112,-,11616738417.0,,14170795112.0,
Phải thu về vay hộ Công ty cổ phần VETC,Ban QLDA Quận > Phải thu về vay hộ Công ty cổ phần VETC,Phải thu về vay hộ Công ty cổ phần VETC,252.878.803.088,-,-,-,252878803088.0,,,
Phải thu đối tượng khác,Ban QLDA Quận > Phải thu đối tượng khác,Phải thu đối tượng khác,37.990.313.232,-,16.364.468.335,-,37990313232.0,,16364468335.0,
Dài hạn,Ban QLDA Quận > Dài hạn,Dài hạn,758.504.802.786,-,857.894.057.980,-,758504802786.0,,857894057980.0,
- Phải thu khác,Ban QLDA Quận > - Phải thu khác,- Phải thu khác,758.504.802.786,-,857.894.057.980,-,758504802786.0,,857894057980.0,
Công ty TNHH MTV Tasco 6,Ban QLDA Quận > Công ty TNHH MTV Tasco 6,Công ty TNHH MTV Tasco 6,685.919.767.481,,857.894.057.980,,685919767481.0,,857894057980.0,
Các đối tượng khác,Ban QLDA Quận > Các đối tượng khác,Các đối tượng khác,72.585.035.305,,-,,72585035305.0,,,
Tổng,Ban QLDA Quận > Tổng,Tổng,1.183.105.598.433,-,1.017.130.530.881,-,1183105598433.0,,1017130530881.0,
