row_label_raw,row_label_full,Ông Phạm Văn Lương,Phó Chủ tịch,numeric__Phó Chủ tịch
Bà Phạm Thị Nhàn,Bà Phạm Thị Nhàn,Bà Phạm Thị Nhàn,Ủy viên,
Bà Trần Thị Thanh Tân,Bà Trần Thị Thanh Tân,Bà Trần Thị Thanh Tân,Ủy viên,
Ông Vũ Quang Lâm,Ông Vũ Quang Lâm,Ông Vũ Quang Lâm,Ủy viên,
Ông Nguyễn Ngọc Hùng,Ông Nguyễn Ngọc Hùng,Ông Nguyễn Ngọc Hùng,Ủy viên,
Bà Phạm Thị Chi,Bà Phạm Thị Chi,Bà Phạm Thị Chi,Ủy viên,
Ông Hoàng Trung Dũng,Ông Hoàng Trung Dũng,Ông Hoàng Trung Dũng,Ủy viên (Bổ n,
