row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị","Phương tiện vântải, truyền dẫn","Thiết bị,dụng cụ quản lý",Đơn vi tính: VNDTổng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị","numeric__Phương tiện vântải, truyền dẫn","numeric__Thiết bị,dụng cụ quản lý",numeric__Đơn vi tính: VNDTổng
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,
Số dư tại 01/01/2016,NGUYÊN GIÁ > Số dư tại 01/01/2016,Số dư tại 01/01/2016,19.957.828.489,1.528.176.091,26.230.388.944,3.642.604.823,51.358.998.347,19957828489.0,1528176091.0,26230388944.0,3642604823.0,51358998347.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,-,-,375.602.808,81.160.000,456.762.808,,,375602808.0,81160000.0,456762808.0
Mua trong năm,NGUYÊN GIÁ > Mua trong năm,Mua trong năm,-,,375.602.808,81.160.000,456.762.808,,,375602808.0,81160000.0,456762808.0
Giảm trong năm,NGUYÊN GIÁ > Giảm trong năm,Giảm trong năm,-,-,1.781.854.545,-,1.781.854.545,,,1781854545.0,,1781854545.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,,1.781.854.545,-,1.781.854.545,,,1781854545.0,,1781854545.0
Số dư tại 31/12/2016,NGUYÊN GIÁ > Số dư tại 31/12/2016,Số dư tại 31/12/2016,19.957.828.489,1.528.176.091,24.824.137.207,3.723.764.823,50.033.906.610,19957828489.0,1528176091.0,24824137207.0,3723764823.0,50033906610.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,
Số dư tại 01/01/2016,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư tại 01/01/2016,Số dư tại 01/01/2016,7.876.829.275,1.386.224.663,6.188.985.101,3.063.812.191,18.515.851.230,7876829275.0,1386224663.0,6188985101.0,3063812191.0,18515851230.0
Tăng trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Tăng trong năm,Tăng trong năm,813.169.524,47.626.322,3.353.789.461,220.164.354,4.434.749.661,813169524.0,47626322.0,3353789461.0,220164354.0,4434749661.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,813.169.524,47.626.322,3.353.789.461,220.164.354,4.434.749.661,813169524.0,47626322.0,3353789461.0,220164354.0,4434749661.0
Giảm trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Giảm trong năm,Giảm trong năm,-,-,1.045.282.043,-,1.045.282.043,,,1045282043.0,,1045282043.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,,1.045.282.043,-,1.045.282.043,,,1045282043.0,,1045282043.0
Số dư tại 31/12/2016,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư tại 31/12/2016,Số dư tại 31/12/2016,8.689.998.799,1.433.850.985,8.497.492.519,3.283.976.545,21.905.318.848,8689998799.0,1433850985.0,8497492519.0,3283976545.0,21905318848.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,
Tại 01/01/2016,GIÁ TRỊ CÒN LẠI > Tại 01/01/2016,Tại 01/01/2016,12.080.999.214,141.951.428,20.041.403.843,578.792.632,32.843.147.117,12080999214.0,141951428.0,20041403843.0,578792632.0,32843147117.0
Tại 31/12/2016,GIÁ TRỊ CÒN LẠI > Tại 31/12/2016,Tại 31/12/2016,11.267.829.690,94.325.106,16.326.644.688,439.788.278,28.128.587.762,11267829690.0,94325106.0,16326644688.0,439788278.0,28128587762.0
