row_label_raw,row_label_full,31/12/2016,Dưới 1 nămVND,Từ 1-5 nămVND,TổngVND,numeric__Dưới 1 nămVND,numeric__Từ 1-5 nămVND,numeric__TổngVND
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,295.369.686.097,-,295.369.686.097,295369686097.0,,295369686097.0
Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,794.494.510.188,758.504.802.786,1.552.999.312.974,794494510188.0,758504802786.0,1552999312974.0
Các khoản cho vay,Các khoản cho vay,Các khoản cho vay,155.295.729.915,-,155.295.729.915,155295729915.0,,155295729915.0
Đầu tư ngắn hạn,Đầu tư ngắn hạn,Đầu tư ngắn hạn,134.298.370.409,-,134.298.370.409,134298370409.0,,134298370409.0
Đầu tư dài hạn,Đầu tư dài hạn,Đầu tư dài hạn,-,11.130.000.000,11.130.000.000,,11130000000.0,11130000000.0
01/01/2016,01/01/2016,01/01/2016,Dưới 1 nămVND,Từ 1-5 nămVND,TổngVND,,,
Tiền và các khoản tương đương tiền,01/01/2016 > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,280.812.638.355,-,280.812.638.355,280812638355.0,,280812638355.0
Phải thu khách hàng và phải thu khác,01/01/2016 > Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,622.241.162.119,857.894.057.980,1.480.135.220.099,622241162119.0,857894057980.0,1480135220099.0
Các khoản cho vay,01/01/2016 > Các khoản cho vay,Các khoản cho vay,10.130.000.000,-,10.130.000.000,10130000000.0,,10130000000.0
Đầu tư ngắn hạn,01/01/2016 > Đầu tư ngắn hạn,Đầu tư ngắn hạn,12.447.190.322,-,12.447.190.322,12447190322.0,,12447190322.0
Đầu tư dài hạn,01/01/2016 > Đầu tư dài hạn,Đầu tư dài hạn,-,6.130.000.000,6.130.000.000,,6130000000.0,6130000000.0
