row_label_raw,row_label_full,Bên liên quan,Năm 2016VND,Năm 2015VND,numeric__Năm 2016VND,numeric__Năm 2015VND
Giao dịch mua,Giao dịch mua,Giao dịch mua,,,,
Công ty TNHH Đào tạo và Tư vấn TASEDU,Giao dịch mua > Công ty TNHH Đào tạo và Tư vấn TASEDU,Công ty TNHH Đào tạo và Tư vấn TASEDU,183.000.000,-,183000000.0,
Giao dịch bán hàng,Giao dịch bán hàng,Giao dịch bán hàng,,,,
Công ty TNHH Đào tạo và Tư vấn TASEDU,Công ty TNHH Đào tạo và Tư vấn TASEDU,Công ty TNHH Đào tạo và Tư vấn TASEDU,,,,
Công ty TNHH MTV Tasco 6,Công ty TNHH MTV Tasco 6,Công ty TNHH MTV Tasco 6,,,,
Công ty Cổ phần VETC,Công ty TNHH MTV Tasco 6 > Công ty Cổ phần VETC,Công ty Cổ phần VETC,272.910.000,-,272910000.0,
Công ty Cổ phần Tasco Thành Công,Công ty TNHH MTV Tasco 6 > Công ty Cổ phần Tasco Thành Công,Công ty Cổ phần Tasco Thành Công,120.000.000,90.000.000,120000000.0,90000000.0
Công ty TNHH T'Hospital,Công ty TNHH MTV Tasco 6 > Công ty TNHH T'Hospital,Công ty TNHH T'Hospital,149.252.727,-,149252727.0,
Công ty TNHH Đào tạo và Tư vấn TASEDU,Công ty TNHH MTV Tasco 6 > Công ty TNHH Đào tạo và Tư vấn TASEDU,Công ty TNHH Đào tạo và Tư vấn TASEDU,44.723.636,-,44723636.0,
