row_label_raw,row_label_full,A.7.23. Phải trả hoạt động giao dịch chứng khoán,Số cuối năm,Số đầu năm,numeric__Số cuối năm,numeric__Số đầu năm
7.23.1.Phải trả cho Sở Giao dịch chứng khoán,7.23.1.Phải trả cho Sở Giao dịch chứng khoán,7.23.1.Phải trả cho Sở Giao dịch chứng khoán,,24.000.000,,24000000.0
Cộng,Cộng,Cộng,,24.000.000,,24000000.0
"A.7.24. Phải trả cổ tức, gốc và lãi trái phiếu","A.7.24. Phải trả cổ tức, gốc và lãi trái phiếu","A.7.24. Phải trả cổ tức, gốc và lãi trái phiếu",Số cuối năm,Số đầu năm,,
- Phải trả cổ tức cho cổ đông hoặc lợi nhuận cho thành viên góp vốn,"A.7.24. Phải trả cổ tức, gốc và lãi trái phiếu > - Phải trả cổ tức cho cổ đông hoặc lợi nhuận cho thành viên góp vốn",- Phải trả cổ tức cho cổ đông hoặc lợi nhuận cho thành viên góp vốn,3.832.709.500,4.063.091.000,3832709500.0,4063091000.0
Cộng,"A.7.24. Phải trả cổ tức, gốc và lãi trái phiếu > Cộng",Cộng,3.832.709.500,4.063.091.000,3832709500.0,4063091000.0
A.7.25. Thuế và các khoản phải nộp Nhà nước,A.7.25. Thuế và các khoản phải nộp Nhà nước,A.7.25. Thuế và các khoản phải nộp Nhà nước,Số cuối năm,Số đầu năm,,
- Thuế Thu nhập doanh nghiệp,A.7.25. Thuế và các khoản phải nộp Nhà nước > - Thuế Thu nhập doanh nghiệp,- Thuế Thu nhập doanh nghiệp,10.307.299.663,11.870.408.380,10307299663.0,11870408380.0
- Thuế Thu nhập cá nhân,A.7.25. Thuế và các khoản phải nộp Nhà nước > - Thuế Thu nhập cá nhân,- Thuế Thu nhập cá nhân,3.712.496.562,4.708.915.113,3712496562.0,4708915113.0
- Các loại thuế khác,A.7.25. Thuế và các khoản phải nộp Nhà nước > - Các loại thuế khác,- Các loại thuế khác,118.084.234,106.018.014,118084234.0,106018014.0
"- Các khoản phí, lệ phí và các khoản phải nộp khác","- Các khoản phí, lệ phí và các khoản phải nộp khác","- Các khoản phí, lệ phí và các khoản phải nộp khác",,,,
Cộng,"- Các khoản phí, lệ phí và các khoản phải nộp khác > Cộng",Cộng,14.137.880.459,16.685.341.507,14137880459.0,16685341507.0
A.7.26. Chi phí phải trả,A.7.26. Chi phí phải trả,A.7.26. Chi phí phải trả,Số cuối năm,Số đầu năm,,
"Phí GDCK, phí lưu ký và chuyển khoản, phí đại lý mở tài khoản","A.7.26. Chi phí phải trả > Phí GDCK, phí lưu ký và chuyển khoản, phí đại lý mở tài khoản","Phí GDCK, phí lưu ký và chuyển khoản, phí đại lý mở tài khoản",5.761.469.418,3.511.212.253,5761469418.0,3511212253.0
Cộng,A.7.26. Chi phí phải trả > Cộng,Cộng,5.761.469.418,3.511.212.253,5761469418.0,3511212253.0
A.7.27. Phải trả người bán,A.7.27. Phải trả người bán,A.7.27. Phải trả người bán,Số cuối năm,Số đầu năm,,
Công ty TNHH TM&DV Green Star Hà Nội,A.7.27. Phải trả người bán > Công ty TNHH TM&DV Green Star Hà Nội,Công ty TNHH TM&DV Green Star Hà Nội,,14.550.000,,14550000.0
Công ty TNHH Schneider electric IT Việt nam,A.7.27. Phải trả người bán > Công ty TNHH Schneider electric IT Việt nam,Công ty TNHH Schneider electric IT Việt nam,,710.000.000,,710000000.0
Công ty siêu thị Hà Nội,A.7.27. Phải trả người bán > Công ty siêu thị Hà Nội,Công ty siêu thị Hà Nội,,3.916.161,,3916161.0
Công ty cổ phần Thực phẩm An toàn Tâm Thành,A.7.27. Phải trả người bán > Công ty cổ phần Thực phẩm An toàn Tâm Thành,Công ty cổ phần Thực phẩm An toàn Tâm Thành,,30.757.670,,30757670.0
Công ty TNHH Khí Hóa Lông Phú An,A.7.27. Phải trả người bán > Công ty TNHH Khí Hóa Lông Phú An,Công ty TNHH Khí Hóa Lông Phú An,,2.697.248,,2697248.0
Ban quản lý Hồ Tây,A.7.27. Phải trả người bán > Ban quản lý Hồ Tây,Ban quản lý Hồ Tây,,19.968.000,,19968000.0
Công ty CP đầu tư và địa ốc Hoàng Lịch,A.7.27. Phải trả người bán > Công ty CP đầu tư và địa ốc Hoàng Lịch,Công ty CP đầu tư và địa ốc Hoàng Lịch,23.040.544,,23040544.0,
Tổng Công ty Đầu tư tài chính Hà Thành - Công ty CP,A.7.27. Phải trả người bán > Tổng Công ty Đầu tư tài chính Hà Thành - Công ty CP,Tổng Công ty Đầu tư tài chính Hà Thành - Công ty CP,64.608.761,,64608761.0,
Công ty TNHH FBS,A.7.27. Phải trả người bán > Công ty TNHH FBS,Công ty TNHH FBS,7.772.203,,7772203.0,
Công ty CP Havic,A.7.27. Phải trả người bán > Công ty CP Havic,Công ty CP Havic,7.704.194,,7704194.0,
Công ty Cổ phần Phú Tăng,A.7.27. Phải trả người bán > Công ty Cổ phần Phú Tăng,Công ty Cổ phần Phú Tăng,21.872.896,,21872896.0,
Công ty Cổ phần Đầu tư và Thương mại Thái Minh,A.7.27. Phải trả người bán > Công ty Cổ phần Đầu tư và Thương mại Thái Minh,Công ty Cổ phần Đầu tư và Thương mại Thái Minh,5.216.384,,5216384.0,
Công ty CP đầu tư Châu Âu,A.7.27. Phải trả người bán > Công ty CP đầu tư Châu Âu,Công ty CP đầu tư Châu Âu,2.313.901,,2313901.0,
Công ty Luật TNHH Hung Nguyên,A.7.27. Phải trả người bán > Công ty Luật TNHH Hung Nguyên,Công ty Luật TNHH Hung Nguyên,5.500.000,,5500000.0,
Cộng,A.7.27. Phải trả người bán > Cộng,Cộng,138.028.883,781.889.079,138028883.0,781889079.0
"A.7.28. Phải trả, phải nộp khác","A.7.28. Phải trả, phải nộp khác","A.7.28. Phải trả, phải nộp khác",Số cuối năm,Số đầu năm,,
