row_label_raw,row_label_full,STT,Loại doanh thu hoạt động tài chính,Năm 2018,Năm 2017,numeric__Loại doanh thu hoạt động tài chính,numeric__Năm 2018,numeric__Năm 2017
1,1,1,Chênh lệch tỷ giá hối đoái,,,,,
1.1,1.1,1.1,Chênh lệch lãi tỷ giá hối đoái đã thực hiện,,,,,
1.2,1.2,1.2,Chênh lệch lãi tỷ giá hối đoái chưa thực hiện,,,,,
2,2,2,"Doanh thu cổ tức từ các khoản đầu tư vào công ty con, công ty liên kết, liên doanh phát sinh trong kỳ",,,,,
3,3,3,"Doanh thu dự thu cổ tức, phát sinh trong kỳ",,,,,
4,3 > 4,4,Doanh thu lãi tiền gửi không kỳ hạn,33.245.932.757,23.144.067.297,,33245932757.0,23144067297.0
5,5,5,Doanh thu hoạt động tài chính khác,,,,,
Cộng,5 > Cộng,Cộng,Cộng,33.245.932.757,23.144.067.297,,33245932757.0,23144067297.0
