row_label_raw,row_label_full,Khoản mục,Quyền sử dụng đất,"Bản quyền, bằng sáng chế",Chương trình phần mềm,TSCĐ vô hình khác,Tổng cộng,numeric__Quyền sử dụng đất,"numeric__Bản quyền, bằng sáng chế",numeric__Chương trình phần mềm,numeric__TSCĐ vô hình khác,numeric__Tổng cộng
Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,,,,,,,,,,
Số dư đầu năm,Nguyên giá TSCĐ vô hình > Số dư đầu năm,Số dư đầu năm,19.257.558.796,7.459.423.280,16.588.002.785,367.576.900,43.672.561.761,19257558796.0,7459423280.0,16588002785.0,367576900.0,43672561761.0
- Mua trong năm,- Mua trong năm,- Mua trong năm,,,,,,,,,,
- Đầu tư XDCB hoàn thành,- Đầu tư XDCB hoàn thành,- Đầu tư XDCB hoàn thành,,,,,,,,,,
- Tạo ra từ nội bộ Công ty,- Tạo ra từ nội bộ Công ty,- Tạo ra từ nội bộ Công ty,,,,,,,,,,
- Tăng do hợp nhất kinh doanh,- Tăng do hợp nhất kinh doanh,- Tăng do hợp nhất kinh doanh,,,,,,,,,,
- Tăng khác,- Tăng khác,- Tăng khác,,,,,,,,,,
"- Thanh lý, nhượng bán","- Thanh lý, nhượng bán","- Thanh lý, nhượng bán",,,,,,,,,,
- Giảm khác,- Giảm khác,- Giảm khác,,,,,,,,,,
Số dư cuối năm,- Giảm khác > Số dư cuối năm,Số dư cuối năm,19.257.558.796,7.459.423.280,16.588.002.785,367.576.900,43.672.561.761,19257558796.0,7459423280.0,16588002785.0,367576900.0,43672561761.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,131.716.457,7.135.502.655,16.588.002.785,367.576.900,24.222.798.797,131716457.0,7135502655.0,16588002785.0,367576900.0,24222798797.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,131.716.452,111.058.500,,,242.774.952,131716452.0,111058500.0,,,242774952.0
- Tăng khác,- Tăng khác,- Tăng khác,,,,,,,,,,
"- Thanh lý, nhượng bán","- Thanh lý, nhượng bán","- Thanh lý, nhượng bán",,,,,,,,,,
- Giảm khác,- Giảm khác,- Giảm khác,,,,,,,,,,
Số dư cuối năm,- Giảm khác > Số dư cuối năm,Số dư cuối năm,263.432.909,7.246.561.155,16.588.002.785,367.576.900,24.465.573.749,263432909.0,7246561155.0,16588002785.0,367576900.0,24465573749.0
Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,,,,,,,,,,
- Tại ngày đầu năm,Giá trị còn lại của TSCĐ vô hình > - Tại ngày đầu năm,- Tại ngày đầu năm,19.125.842.339,323.920.625,,,19.449.762.964,19125842339.0,323920625.0,,,19449762964.0
- Tại ngày cuối năm,Giá trị còn lại của TSCĐ vô hình > - Tại ngày cuối năm,- Tại ngày cuối năm,18.994.125.887,212.862.125,,,19.206.988.012,18994125887.0,212862125.0,,,19206988012.0
Đánh giá theo giá trị hợp lý,Đánh giá theo giá trị hợp lý,Đánh giá theo giá trị hợp lý,,,,,,,,,,
