row_label_raw,row_label_full,Tiền gửi của Nhà đầu tư,Số cuối năm,Số đầu năm,numeric__Số cuối năm,numeric__Số đầu năm
1.Tiền gửi của Nhà đầu tư về giao dịch chứng khoán theo phương thức CTCK quản lý,1.Tiền gửi của Nhà đầu tư về giao dịch chứng khoán theo phương thức CTCK quản lý,1.Tiền gửi của Nhà đầu tư về giao dịch chứng khoán theo phương thức CTCK quản lý,970.104.910.039,1.354.078.352.079,970104910039.0,1354078352079.0
1.1.Tiền gửi của Nhà đầu tư trong nước về giao dịch chứng khoán theo phương thức CTCK quản lý,1.1.Tiền gửi của Nhà đầu tư trong nước về giao dịch chứng khoán theo phương thức CTCK quản lý,1.1.Tiền gửi của Nhà đầu tư trong nước về giao dịch chứng khoán theo phương thức CTCK quản lý,957.690.295.018,1.298.318.059.048,957690295018.0,1298318059048.0
1.2.Tiền gửi của Nhà đầu tư nước ngoài về giao dịch chứng khoán theo phương thức CTCK quản lý,1.2.Tiền gửi của Nhà đầu tư nước ngoài về giao dịch chứng khoán theo phương thức CTCK quản lý,1.2.Tiền gửi của Nhà đầu tư nước ngoài về giao dịch chứng khoán theo phương thức CTCK quản lý,12.414.615.021,55.760.293.031,12414615021.0,55760293031.0
2.Tiền gửi tổng hợp giao dịch chứng khoán cho khách hàng,2.Tiền gửi tổng hợp giao dịch chứng khoán cho khách hàng,2.Tiền gửi tổng hợp giao dịch chứng khoán cho khách hàng,,,,
3.Tiền gửi bù trừ và thanh toán giao dịch chứng khoán của Nhà đầu tư,3.Tiền gửi bù trừ và thanh toán giao dịch chứng khoán của Nhà đầu tư,3.Tiền gửi bù trừ và thanh toán giao dịch chứng khoán của Nhà đầu tư,,,,
3.1.Tiền gửi bù trừ và thanh toán giao dịch chứng khoán của Nhà đầu tư trong nước,3.1.Tiền gửi bù trừ và thanh toán giao dịch chứng khoán của Nhà đầu tư trong nước,3.1.Tiền gửi bù trừ và thanh toán giao dịch chứng khoán của Nhà đầu tư trong nước,,,,
3.2.Tiền gửi bù trừ và thanh toán giao dịch chứng khoán của Nhà đầu tư nước ngoài,3.2.Tiền gửi bù trừ và thanh toán giao dịch chứng khoán của Nhà đầu tư nước ngoài,3.2.Tiền gửi bù trừ và thanh toán giao dịch chứng khoán của Nhà đầu tư nước ngoài,,,,
Cộng,3.2.Tiền gửi bù trừ và thanh toán giao dịch chứng khoán của Nhà đầu tư nước ngoài > Cộng,Cộng,970.104.910.039,1.354.078.352.079,970104910039.0,1354078352079.0
A.7.22. Tiền gửi của Tổ chức phát hành,A.7.22. Tiền gửi của Tổ chức phát hành,A.7.22. Tiền gửi của Tổ chức phát hành,,,,
Tiền gửi của Tổ chức phát hành,Tiền gửi của Tổ chức phát hành,Tiền gửi của Tổ chức phát hành,Số cuối năm,Số đầu năm,,
"1.Tiền gửi bán chứng khoán bảo lãnh đại , đại lý phát hành","1.Tiền gửi bán chứng khoán bảo lãnh đại , đại lý phát hành","1.Tiền gửi bán chứng khoán bảo lãnh đại , đại lý phát hành",,,,
"2.Tiền gửi thanh toán gốc, tiền lãi và cổ tức của Tổ chức phát hành","1.Tiền gửi bán chứng khoán bảo lãnh đại , đại lý phát hành > 2.Tiền gửi thanh toán gốc, tiền lãi và cổ tức của Tổ chức phát hành","2.Tiền gửi thanh toán gốc, tiền lãi và cổ tức của Tổ chức phát hành",2.092.693.525,1.145.613.975,2092693525.0,1145613975.0
Cộng,"1.Tiền gửi bán chứng khoán bảo lãnh đại , đại lý phát hành > Cộng",Cộng,2.092.693.525,1.145.613.975,2092693525.0,1145613975.0
