row_label_raw,row_label_full,Khoản cho vay và phải thu,Số cuối năm > Giá gốc,Số cuối năm > Giá trị hợp lý,Số đầu năm > Giá gốc,Số đầu năm > Giá trị hợp lý,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị hợp lý,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Giá trị hợp lý
Cho vay hoạt động ký quỹ,Cho vay hoạt động ký quỹ,Cho vay hoạt động ký quỹ,1.514.718.866.735,1.503.834.585.625,1.307.520.007.644,1.296.634.743.919,1514718866735.0,1503834585625.0,1307520007644.0,1296634743919.0
Cho vay nghiệp vụ ứng trước,Cho vay nghiệp vụ ứng trước,Cho vay nghiệp vụ ứng trước,46.003.809.878,46.003.809.878,91.511.157.331,91.511.157.331,46003809878.0,46003809878.0,91511157331.0,91511157331.0
Cho vay hoạt động giao dịch chứng khoán phải sinh,Cho vay hoạt động giao dịch chứng khoán phải sinh,Cho vay hoạt động giao dịch chứng khoán phải sinh,1.931,1.931,,,1931.0,1931.0,,
Cộng các khoản cho vay,Cộng các khoản cho vay,Cộng các khoản cho vay,1.560.722.678.544,1.549.838.397.434,1.399.031.164.975,1.388.145.901.250,1560722678544.0,1549838397434.0,1399031164975.0,1388145901250.0
