row_label_raw,row_label_full,STT,Loại phải thu khóđời phải lập dự phòng,Giá trị phải thu khó đòi,Số cuối năm > Tham chiếu,Số cuối năm > Số đầu kỳ,Số cuối năm > Số trích lập trong kỳ,Số cuối năm > Số hoàn nhập trong kỳ,Số cuối năm > Số cuối kỳ,Số đầu năm,numeric__Loại phải thu khóđời phải lập dự phòng,numeric__Giá trị phải thu khó đòi,numeric__Số cuối năm > Tham chiếu,numeric__Số cuối năm > Số đầu kỳ,numeric__Số cuối năm > Số trích lập trong kỳ,numeric__Số cuối năm > Số hoàn nhập trong kỳ,numeric__Số cuối năm > Số cuối kỳ,numeric__Số đầu năm
4,4,4,Dự phòng nợ phải thu khác khó đòi,275.400.000,,199.170.000,21.890.000,30.910.000,190.150.000,199.170.000,,275400000.0,,199170000.0,21890000.0,30910000.0,190150000.0,199170000.0
,,,Công ty cổ phần Công nghiệp Tàuthiy Shinec,172.000.000,,172.000.000,,,172.000.000,172.000.000,,172000000.0,,172000000.0,,,172000000.0,172000000.0
,,,Công ty CP Lilama 3,13.200.000,,3.960.000,2.640.000,,6.600.000,3.960.000,,13200000.0,,3960000.0,2640000.0,,6600000.0,3960000.0
,,,Công ty CP Xỉ măng và Xây dựng Quảng Ninh,38.500.000,,19.250.000,7.700.000,26.950.000,,19.250.000,,38500000.0,,19250000.0,7700000.0,26950000.0,,19250000.0
,,,Công ty CP Vận tài và dịch vụ Hàng Hóa Hà Nội,13.200.000,,3.960.000,,3.960.000,,3.960.000,,13200000.0,,3960000.0,,3960000.0,,3960000.0
,,,Công ty CP Lisemco,38.500.000,,,11.550.000,,11.550.000,,,38500000.0,,,11550000.0,,11550000.0,
,,,Cộng,275.400.000,,199.170.000,21.890.000,30.910.000,190.150.000,199.170.000,,275400000.0,,199170000.0,21890000.0,30910000.0,190150000.0,199170000.0
