row_label_raw,row_label_full,Tại san FVTPL,Giá gốc,Giá trị hợp lý,Giá gốc_1,Giá trị hợp lý_1,numeric__Giá gốc,numeric__Giá trị hợp lý,numeric__Giá gốc_1,numeric__Giá trị hợp lý_1
"Cổ phiếu niêm yết, đăng ký GD","Cổ phiếu niêm yết, đăng ký GD","Cổ phiếu niêm yết, đăng ký GD",14.581.140.674,266.746.014.945,1.335.200.824,1.416.752.900,14581140674.0,266746014945.0,1335200824.0,1416752900.0
Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,2.007.364.933,2.007.364.933,15.457.791.364,15.457.791.364,2007364933.0,2007364933.0,15457791364.0,15457791364.0
Cộng,Cộng,Cộng,16.588.505.607,268.753.379.878,16.792.992.188,16.874.544.264,16588505607.0,268753379878.0,16792992188.0,16874544264.0
