row_label_raw,row_label_full,STT,Các loại tài sản tài chính,Số cuối năm > Giá mua,Số cuối năm > Giá trị thị trường hoặc giá trị hợp lý kỳ này,Số cuối năm > CL đánh giá kỳ này > Chênh lệch tăng,Số cuối năm > CL đánh giá kỳ này > Chênh lệch giảm,Số cuối năm > Giá trị đánh giá lại,Số đầu năm > Giá mua,Số đầu năm > Giá trị thị trường hoặc giá trị hợp lý kỳ trước,Số đầu năm > CL đánh giá kỳ trước > Chênh lệch tăng,Số đầu năm > CL đánh giá kỳ trước > Chênh lệch giảm,Số đầu năm > Giá trị đánh giá lại,numeric__Các loại tài sản tài chính,numeric__Số cuối năm > Giá mua,numeric__Số cuối năm > Giá trị thị trường hoặc giá trị hợp lý kỳ này,numeric__Số cuối năm > CL đánh giá kỳ này > Chênh lệch tăng,numeric__Số cuối năm > CL đánh giá kỳ này > Chênh lệch giảm,numeric__Số cuối năm > Giá trị đánh giá lại,numeric__Số đầu năm > Giá mua,numeric__Số đầu năm > Giá trị thị trường hoặc giá trị hợp lý kỳ trước,numeric__Số đầu năm > CL đánh giá kỳ trước > Chênh lệch tăng,numeric__Số đầu năm > CL đánh giá kỳ trước > Chênh lệch giảm,numeric__Số đầu năm > Giá trị đánh giá lại
A,A,A,B,1,2,3=(2-1),4=(1-2),5=(1+3-4),6,7,8=(7-6),9=(6-7),10=(6+8-9),,1.0,2.0,,,,6.0,7.0,,,
I,I,I,FVTPL,,,,,,,,,,,,,,,,,,,,,
1,I > 1,1,Cổ phiếu,16.588.505.607,268.753.379.878,252.341.860.391,176.986.120,268.753.379.878,16.792.992.188,16.874.544.264,167.075.264,85.523.188,16.874.544.264,,16588505607.0,268753379878.0,252341860391.0,176986120.0,268753379878.0,16792992188.0,16874544264.0,167075264.0,85523188.0,16874544264.0
1.1,I > 1.1,1.1,"Cổ phiếu niêm yết, đăng ký GD",14.581.140.674,266.746.014.945,252.341.860.391,176.986.120,266.746.014.945,1.335.200.824,1.416.752.900,167.075.264,85.523.188,1.416.752.900,,14581140674.0,266746014945.0,252341860391.0,176986120.0,266746014945.0,1335200824.0,1416752900.0,167075264.0,85523188.0,1416752900.0
,,,DCF - CTCP xây dựng số 1,389.840.024,292.380.000,,97.460.024,292.380.000,394.840.024,367.201.200,,27.638.824,367.201.200,,389840024.0,292380000.0,,97460024.0,292380000.0,394840024.0,367201200.0,,27638824.0,367201200.0
,,,MSH - CTCP May Sông Hồng,13.450.000.000,265.680.000.000,252.230.000.000,,265.680.000.000,,,,,,,13450000000.0,265680000000.0,252230000000.0,,265680000000.0,,,,,
,,,Cổ phiếu niêm yết khác,741.300.650,773.634.945,111.860.391,79.526.096,773.634.945,940.360.800,1.049.551.700,167.075.264,57.884.364,1.049.551.700,,741300650.0,773634945.0,111860391.0,79526096.0,773634945.0,940360800.0,1049551700.0,167075264.0,57884364.0,1049551700.0
1.2,I > 1.2,1.2,Cổ phiếu chưa niêm yết,2.007.364.933,2.007.364.933,,,2.007.364.933,15.457.791.364,15.457.791.364,,,15.457.791.364,,2007364933.0,2007364933.0,,,2007364933.0,15457791364.0,15457791364.0,,,15457791364.0
,,,CIC8 - CTCP đầu tư xây dựng số 8,2.000.000.000,2.000.000.000,,,2.000.000.000,2.000.000.000,2.000.000.000,,,2.000.000.000,,2000000000.0,2000000000.0,,,2000000000.0,2000000000.0,2000000000.0,,,2000000000.0
,,,MSH - CTCP May Sông Hồng,,,,,,13.450.000.000,13.450.000.000,,,13.450.000.000,,,,,,,13450000000.0,13450000000.0,,,13450000000.0
,,,Cổ phiếu chưa niêm yết khác,7.364.933,7.364.933,,,7.364.933,7.791.364,7.791.364,,,7.791.364,,7364933.0,7364933.0,,,7364933.0,7791364.0,7791364.0,,,7791364.0
2,2,2,Trái phiếu,,,,,,,,,,,,,,,,,,,,,
3,3,3,Tiền gửi có kỳ hạn cố định,,,,,,,,,,,,,,,,,,,,,
II,II,II,AFS,,,,,,,,,,,,,,,,,,,,,
,,,Cộng,16.588.505.607,268.753.379.878,252.341.860.391,176.986.120,268.753.379.878,16.792.992.188,16.874.544.264,167.075.264,85.523.188,16.874.544.264,,16588505607.0,268753379878.0,252341860391.0,176986120.0,268753379878.0,16792992188.0,16874544264.0,167075264.0,85523188.0,16874544264.0
