row_label_raw,row_label_full,STT,Các loại doanh thu hoạt động khác,Năm 2018,Năm 2017,numeric__Các loại doanh thu hoạt động khác,numeric__Năm 2018,numeric__Năm 2017
1,1,1,Doanh thu đại lý đấu giá,34.483.208,13.323.429,,34483208.0,13323429.0
2,2,2,"Doanh thu từ trả hộ gốc, lãi trái phiếu và cổ tức của TCPH",24.500.000,65.150.000,,24500000.0,65150000.0
3,3,3,Phí quản lý tài sản cầm cố,45.383.700,113.686.200,,45383700.0,113686200.0
4,4,4,Doanh thu khác,742.358.885,1.000.000,,742358885.0,1000000.0
Cộng,Cộng,Cộng,Cộng,846.725.793,193.159.629,,846725793.0,193159629.0
