row_label_raw,row_label_full,A.7.4. Dự phòng suy giảm giá trị tài sản tài chính và tài sản nhận thế chấp,Số cuối năm > A.7.4. Dự phòng suy giảm giá trị tài sản tài chính và tài sản nhận thế chấp,Số đầu năm > A.7.4. Dự phòng suy giảm giá trị tài sản tài chính và tài sản nhận thế chấp,numeric__Số cuối năm > A.7.4. Dự phòng suy giảm giá trị tài sản tài chính và tài sản nhận thế chấp,numeric__Số đầu năm > A.7.4. Dự phòng suy giảm giá trị tài sản tài chính và tài sản nhận thế chấp
Dự phòng giảm giá tài sản tài chính,Dự phòng giảm giá tài sản tài chính,Dự phòng giảm giá tài sản tài chính,(10.884.281.110),(10.885.263.725),-10884281110.0,-10885263725.0
Dự phòng suy giảm - Cho vay hoạt động ký quỹ,Dự phòng suy giảm - Cho vay hoạt động ký quỹ,Dự phòng suy giảm - Cho vay hoạt động ký quỹ,(10.884.281.110),(10.885.263.725),-10884281110.0,-10885263725.0
Cộng,Cộng,Cộng,Cộng,Cộng,,
A.7.5. Các khoản phải thu,A.7.5. Các khoản phải thu,A.7.5. Các khoản phải thu,Số cuối năm,Số đầu năm,,
"A.7.5.1. Các khoản phải thu và dự thu cổ tức, tiền lãi các khoản đầu tư","A.7.5. Các khoản phải thu > A.7.5.1. Các khoản phải thu và dự thu cổ tức, tiền lãi các khoản đầu tư","A.7.5.1. Các khoản phải thu và dự thu cổ tức, tiền lãi các khoản đầu tư",11.597.593.865,8.619.704.273,11597593865.0,8619704273.0
- Phải thu tiền lãi -giao dịch ứng trước tiền bán CK của nhà đầu tư,A.7.5. Các khoản phải thu > - Phải thu tiền lãi -giao dịch ứng trước tiền bán CK của nhà đầu tư,- Phải thu tiền lãi -giao dịch ứng trước tiền bán CK của nhà đầu tư,100.549.041,166.741.982,100549041.0,166741982.0
- Dự thu phí giao dịch ký quỹ và lãi các khoản tiền gửi có kỳ hạn,A.7.5. Các khoản phải thu > - Dự thu phí giao dịch ký quỹ và lãi các khoản tiền gửi có kỳ hạn,- Dự thu phí giao dịch ký quỹ và lãi các khoản tiền gửi có kỳ hạn,11.497.044.824,8.452.962.291,11497044824.0,8452962291.0
Cộng,A.7.5. Các khoản phải thu > Cộng,Cộng,11.597.593.865,8.619.704.273,11597593865.0,8619704273.0
A.7.5.2. Phải thu hoạt động Margin,A.7.5. Các khoản phải thu > A.7.5.2. Phải thu hoạt động Margin,A.7.5.2. Phải thu hoạt động Margin,1.514.718.866.735,1.307.520.007.644,1514718866735.0,1307520007644.0
A.7.5.3. Phải thu các dịch vụ CTCK cung cấp,A.7.5. Các khoản phải thu > A.7.5.3. Phải thu các dịch vụ CTCK cung cấp,A.7.5.3. Phải thu các dịch vụ CTCK cung cấp,1.575.628.189,2.469.540.796,1575628189.0,2469540796.0
7.5.3.1 Phải thu phí môi giới chứng khoán qua các Sở GD,A.7.5. Các khoản phải thu > 7.5.3.1 Phải thu phí môi giới chứng khoán qua các Sở GD,7.5.3.1 Phải thu phí môi giới chứng khoán qua các Sở GD,686.178.189,1.183.899.879,686178189.0,1183899879.0
7.5.3.2 Phải thu phí môi giới chứng khoán không qua các Sở GD,7.5.3.2 Phải thu phí môi giới chứng khoán không qua các Sở GD,7.5.3.2 Phải thu phí môi giới chứng khoán không qua các Sở GD,,,,
7.5.3.3 Phải thu hoạt động tư vấn đầu tư CK,7.5.3.3 Phải thu hoạt động tư vấn đầu tư CK,7.5.3.3 Phải thu hoạt động tư vấn đầu tư CK,,,,
7.5.3.4 Phải thu hoạt động tư vấn khác,7.5.3.3 Phải thu hoạt động tư vấn đầu tư CK > 7.5.3.4 Phải thu hoạt động tư vấn khác,7.5.3.4 Phải thu hoạt động tư vấn khác,889.450.000,1.282.416.667,889450000.0,1282416667.0
7.5.3.5 Phải thu hoạt động lưu ký chứng khoán,7.5.3.5 Phải thu hoạt động lưu ký chứng khoán,7.5.3.5 Phải thu hoạt động lưu ký chứng khoán,,,,
7.5.3.6 Phải thu dịch vụ khác,7.5.3.5 Phải thu hoạt động lưu ký chứng khoán > 7.5.3.6 Phải thu dịch vụ khác,7.5.3.6 Phải thu dịch vụ khác,,3.224.250,,3224250.0
A.7.5.4. Phải thu khác,7.5.3.5 Phải thu hoạt động lưu ký chứng khoán > A.7.5.4. Phải thu khác,A.7.5.4. Phải thu khác,624.047.450,898.304.805,624047450.0,898304805.0
