row_label_raw,row_label_full,STT,Chi tiết chi phí thuế TNDN,Năm 2018,Năm 2017,numeric__Chi tiết chi phí thuế TNDN,numeric__Năm 2018,numeric__Năm 2017
1,1,1,Chi phí thuế thu nhập CTCK hiện hành,,,,,
2,1 > 2,2,- Chi phí thuế thu nhập CTCK tính trên thu nhập chịu thuế năm hiện hành,52.971.545.348,38.669.164.917,,52971545348.0,38669164917.0
3,3,3,- Điều chỉnh Chi phí thuế thu nhập CTCK của các năm trước vào Chi phí thuế thu nhập hiện hành năm nay,,,,,
4,3 > 4,4,- Tổng chi phí thuế thu nhập CTCK hiện hành,52.971.545.348,38.669.164.917,,52971545348.0,38669164917.0
5,5,5,Chi phí thuế thu nhập CTCK hoãn lại,,,,,
