row_label_raw,row_label_full,col_0,Số cuối năm VND,Ngày đáo hạn,numeric__Số cuối năm VND,numeric__Ngày đáo hạn
BIDV – Chi nhánh Sở Giao dịch II (i),BIDV – Chi nhánh Sở Giao dịch II (i),BIDV – Chi nhánh Sở Giao dịch II (i),BIDV – Chi nhánh Sở Giao dịch II (i),BIDV – Chi nhánh Sở Giao dịch II (i),,
Khoản vay số 1,BIDV – Chi nhánh Sở Giao dịch II (i) > Khoản vay số 1,Khoản vay số 1,37.287.499.987,Ngày 15 tháng 8 năm 2021,37287499987.0,
Khoản vay số 2,BIDV – Chi nhánh Sở Giao dịch II (i) > Khoản vay số 2,Khoản vay số 2,48.212.500.000,Ngày 15 tháng 8 năm 2021,48212500000.0,
Khoản vay số 3,BIDV – Chi nhánh Sở Giao dịch II (i) > Khoản vay số 3,Khoản vay số 3,41.900.000.000,Ngày 1 tháng 4 năm 2022,41900000000.0,
Khoản vay số 4,BIDV – Chi nhánh Sở Giao dịch II (i) > Khoản vay số 4,Khoản vay số 4,23.820.589.774,Ngày 22 tháng 6 năm 2020,23820589774.0,
Vay hợp vốn của 9 chi nhánh ngân hàng thương mại do BIDV - Sở Giao dịch II làm đầu mối (ii),BIDV – Chi nhánh Sở Giao dịch II (i) > Vay hợp vốn của 9 chi nhánh ngân hàng thương mại do BIDV - Sở Giao dịch II làm đầu mối (ii),Vay hợp vốn của 9 chi nhánh ngân hàng thương mại do BIDV - Sở Giao dịch II làm đầu mối (ii),1.111.933.888.973,Ngày 26 tháng 12 năm 2021,1111933888973.0,
Ngân hàng Société Générale (iii),Ngân hàng Société Générale (iii),Ngân hàng Société Générale (iii),Ngân hàng Société Générale (iii),Ngân hàng Société Générale (iii),,
Khoản vay số 1,Ngân hàng Société Générale (iii) > Khoản vay số 1,Khoản vay số 1,33.616.061.034,Ngày 28 tháng 2 năm 2020,33616061034.0,
Khoản vay số 2,Ngân hàng Société Générale (iii) > Khoản vay số 2,Khoản vay số 2,17.141.304.976,Ngày 26 tháng 2 năm 2020,17141304976.0,
Vietinbank - Chi nhánh Kiên Giang (iv),Vietinbank - Chi nhánh Kiên Giang (iv),Vietinbank - Chi nhánh Kiên Giang (iv),Vietinbank - Chi nhánh Kiên Giang (iv),Vietinbank - Chi nhánh Kiên Giang (iv),,
Khoản vay số 1,Vietinbank - Chi nhánh Kiên Giang (iv) > Khoản vay số 1,Khoản vay số 1,66.697.702.447,Ngày 7 tháng 12 năm 2020,66697702447.0,
Khoản vay số 2,Vietinbank - Chi nhánh Kiên Giang (iv) > Khoản vay số 2,Khoản vay số 2,65.961.873.998,Ngày 7 tháng 12 năm 2020,65961873998.0,
Ngân hàng Crédit Agricole Corporate and Investment (v),Ngân hàng Crédit Agricole Corporate and Investment (v),Ngân hàng Crédit Agricole Corporate and Investment (v),Ngân hàng Crédit Agricole Corporate and Investment (v),Ngân hàng Crédit Agricole Corporate and Investment (v),,
Khoản vay số 1,Ngân hàng Crédit Agricole Corporate and Investment (v) > Khoản vay số 1,Khoản vay số 1,145.345.499.904,Ngày 30 tháng 6 năm 2021,145345499904.0,
Khoản vay số 2,Ngân hàng Crédit Agricole Corporate and Investment (v) > Khoản vay số 2,Khoản vay số 2,46.356.883.967,Ngày 30 tháng 6 năm 2021,46356883967.0,
TỔNG CỘNG,Ngân hàng Crédit Agricole Corporate and Investment (v) > TỔNG CỘNG,TỔNG CỘNG,1.638.273.805.060,,1638273805060.0,
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Vay dài hạn đến hạn trả,Trong đó: > Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,830.739.126.039,,830739126039.0,
Vay dài hạn,Trong đó: > Vay dài hạn,Vay dài hạn,807.534.679.021,,807534679021.0,
