row_label_raw,row_label_full,Chỉ tiêu,Mã số,Ngày 31 tháng 12 năm 2018 > Số liệu trình bày trước đây,Ngày 31 tháng 12 năm 2018 > Ảnh hưởng của việc trình bày lại,Ngày 31 tháng 12 năm 2018 > Số liệu đã được trình bày lại,numeric__Mã số,numeric__Ngày 31 tháng 12 năm 2018 > Số liệu trình bày trước đây,numeric__Ngày 31 tháng 12 năm 2018 > Ảnh hưởng của việc trình bày lại,numeric__Ngày 31 tháng 12 năm 2018 > Số liệu đã được trình bày lại
BẢNG CẦN ĐỐI KẾ TOÁN RIÊNG,BẢNG CẦN ĐỐI KẾ TOÁN RIÊNG,BẢNG CẦN ĐỐI KẾ TOÁN RIÊNG,BẢNG CẦN ĐỐI KẾ TOÁN RIÊNG,BẢNG CẦN ĐỐI KẾ TOÁN RIÊNG,BẢNG CẦN ĐỐI KẾ TOÁN RIÊNG,BẢNG CẦN ĐỐI KẾ TOÁN RIÊNG,,,,
Phải thu ngắn hạn khác,BẢNG CẦN ĐỐI KẾ TOÁN RIÊNG > Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,136,79.111.916.817,1.740.191.750,80.852.108.567,136.0,79111916817.0,1740191750.0,80852108567.0
Dự phòng phải thu ngắn hạn khó đòi,BẢNG CẦN ĐỐI KẾ TOÁN RIÊNG > Dự phòng phải thu ngắn hạn khó đòi,Dự phòng phải thu ngắn hạn khó đòi,137,(1.023.695.896),1.023.695.896,-,137.0,-1023695896.0,1023695896.0,
Hàng tồn kho,BẢNG CẦN ĐỐI KẾ TOÁN RIÊNG > Hàng tồn kho,Hàng tồn kho,141,676.209.071.564,2.586.716.559,678.795.788.123,141.0,676209071564.0,2586716559.0,678795788123.0
Tài sản cố định hữu hình,BẢNG CẦN ĐỐI KẾ TOÁN RIÊNG > Tài sản cố định hữu hình,Tài sản cố định hữu hình,221,7.375.898.926.627,(1.327.119.551),7.374.571.807.076,221.0,7375898926627.0,-1327119551.0,7374571807076.0
Nguyên giá,BẢNG CẦN ĐỐI KẾ TOÁN RIÊNG > Nguyên giá,Nguyên giá,222,13.534.697.775.872,(2.212.033.774),13.532.485.742.098,222.0,13534697775872.0,-2212033774.0,13532485742098.0
Giá trị hao mòn lũy kế,BẢNG CẦN ĐỐI KẾ TOÁN RIÊNG > Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,223,(6.158.798.849.245),884.914.223,(6.157.913.935.022),223.0,-6158798849245.0,884914223.0,-6157913935022.0
Chi phí trả trước dài hạn,BẢNG CẦN ĐỐI KẾ TOÁN RIÊNG > Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,261,88.888.062.540,(421.412.866),88.466.649.674,261.0,88888062540.0,-421412866.0,88466649674.0
TỔNG TÀI SẢN,BẢNG CẦN ĐỐI KẾ TOÁN RIÊNG > TỔNG TÀI SẢN,TỔNG TÀI SẢN,270,10.626.640.215.249,3.602.071.788,10.630.242.287.037,270.0,10626640215249.0,3602071788.0,10630242287037.0
Phải trả người bán ngắn hạn,BẢNG CẦN ĐỐI KẾ TOÁN RIÊNG > Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,311,1.108.485.657.395,(336.375.308),1.108.149.282.087,311.0,1108485657395.0,-336375308.0,1108149282087.0
Thuế và các khoản phải nộp Nhà nước,BẢNG CẦN ĐỐI KẾ TOÁN RIÊNG > Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,313,87.881.036.937,36.111.618.538,123.992.655.475,313.0,87881036937.0,36111618538.0,123992655475.0
Phải trả ngắn hạn khác,BẢNG CẦN ĐỐI KẾ TOÁN RIÊNG > Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,319,20.032.824.200,(3.646.733.000),16.386.091.200,319.0,20032824200.0,-3646733000.0,16386091200.0
Vay ngắn hạn,BẢNG CẦN ĐỐI KẾ TOÁN RIÊNG > Vay ngắn hạn,Vay ngắn hạn,320,2.119.845.367.608,(5.394.848.127),2.114.450.519.481,320.0,2119845367608.0,-5394848127.0,2114450519481.0
Dự phòng phải trả ngắn hạn,BẢNG CẦN ĐỐI KẾ TOÁN RIÊNG > Dự phòng phải trả ngắn hạn,Dự phòng phải trả ngắn hạn,321,11.739.951.455,(11.739.951.455),-,321.0,11739951455.0,-11739951455.0,
Vay dài hạn,BẢNG CẦN ĐỐI KẾ TOÁN RIÊNG > Vay dài hạn,Vay dài hạn,338,1.719.005.139.465,(3.647.953.529),1.715.357.185.936,338.0,1719005139465.0,-3647953529.0,1715357185936.0
Lợi nhuận sau thuế chưa phân phối năm nay,BẢNG CẦN ĐỐI KẾ TOÁN RIÊNG > Lợi nhuận sau thuế chưa phân phối năm nay,Lợi nhuận sau thuế chưa phân phối năm nay,421b,641.348.383.186,(7.743.685.331),633.604.697.855,,641348383186.0,-7743685331.0,633604697855.0
TỔNG CỘNG NGUỒN VỐN,BẢNG CẦN ĐỐI KẾ TOÁN RIÊNG > TỔNG CỘNG NGUỒN VỐN,TỔNG CỘNG NGUỒN VỐN,440,10.626.640.215.249,3.602.071.788,10.630.242.287.037,440.0,10626640215249.0,3602071788.0,10630242287037.0
