row_label_raw,row_label_full,Bên liên quan > Phải trả người bán ngắn hạnCông ty Cổ phần Vận tải Hà Tiên > Tổng Công ty Công nghiệp Xi măng Việt NamCông ty TNHH MTV Xi măng Hạ Long > Công ty Cổ phần Bao bì Hà Tiên > Công ty Cổ phần Vicem Vật liệu xây dựng Đà Nẵng > Công ty Cổ phần Xi Măng Vicem Hoàng Mai > Công ty Cổ phần Thương mại Dịch vụ Vận tải Xi măng Hải PhòngCông ty Tư vấn Đầu tư Phát triển Xi măng > Công ty Cổ phần Vicem Bao bì Bút Sơn > Chi nhánh Công ty TNHH Một thành viên Xi măngVicem Hoàng Thạch – Xí nghiệp Tiểu thụ và Dịch vụCông ty TNHH Một thành viên Xi măngVicem Tam ĐiệpNhà Máy Vật liệu Chịu lửa Kiềm tính Việt Nam > Công ty Cổ phần Xi măng Vicem Hải Vân,Mối quan hệ > Đơn vị thành viên trong cùng Tổng Công tyCông ty mẹ > Đơn vị thành viên trong cùng Tổng Công ty,Nội dung nghiệp vụ > Chi phí vận chuyển > Phí tư vấn > Phí gia công > Mua nguyên vật liệu > Mua vỏ bao > Phí gia công > Mua clinker > Chi phí vận chuyển > Phí tư vấn > Mua nguyên vật liệu > Mua clinker > Phí gia công > Mua gạch > Mua clinker,Số cuối năm > (108.881.047.143) > (74.136.376.902) > (14.789.403.915) > (4.783.572.845) > (4.618.611.756) > - > (3.037.223.794) > (2.092.522.509) > (39.965.500) > -,VND Số đầu năm > (83.288.847.167) > (70.203.888.650) > (32.427.528.252) > (2.567.659.176) > (579.451.752) > (9.192.000.000) > - > (2.448.666.680) > (259.501.300) > (1.112.739.195) > (6.526.414.786) > (1.786.400.000) > (77.696.850) > (554.002),numeric__Mối quan hệ > Đơn vị thành viên trong cùng Tổng Công tyCông ty mẹ > Đơn vị thành viên trong cùng Tổng Công ty,numeric__Nội dung nghiệp vụ > Chi phí vận chuyển > Phí tư vấn > Phí gia công > Mua nguyên vật liệu > Mua vỏ bao > Phí gia công > Mua clinker > Chi phí vận chuyển > Phí tư vấn > Mua nguyên vật liệu > Mua clinker > Phí gia công > Mua gạch > Mua clinker,numeric__Số cuối năm > (108.881.047.143) > (74.136.376.902) > (14.789.403.915) > (4.783.572.845) > (4.618.611.756) > - > (3.037.223.794) > (2.092.522.509) > (39.965.500) > -,numeric__VND Số đầu năm > (83.288.847.167) > (70.203.888.650) > (32.427.528.252) > (2.567.659.176) > (579.451.752) > (9.192.000.000) > - > (2.448.666.680) > (259.501.300) > (1.112.739.195) > (6.526.414.786) > (1.786.400.000) > (77.696.850) > (554.002)
,,,,,(212.378.724.364),(210.471.347.810),,,-212378724364.0,-210471347810.0
Chi phí phải trả ngắn hạnTổng Công ty Công nghiệp Xi măng Việt Nam,Chi phí phải trả ngắn hạnTổng Công ty Công nghiệp Xi măng Việt Nam,Chi phí phải trả ngắn hạnTổng Công ty Công nghiệp Xi măng Việt Nam,Công ty mẹ,Chi phí lãi vay,-,(619.954.051),,,,-619954051.0
Vay dài hạnTổng Công ty Công nghiệp Xi măng Việt Nam,Vay dài hạnTổng Công ty Công nghiệp Xi măng Việt Nam,Vay dài hạnTổng Công ty Công nghiệp Xi măng Việt Nam,Công ty mẹ39,Vay dài hạn,-,(17.568.573.607),,,,-17568573607.0
