row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,Năm nay,Năm trước (Đã trình bày lại - Thuyết minh số 32),numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước (Đã trình bày lại - Thuyết minh số 32)
,,,I. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,,,,,
01,01,01,Tổng lợi nhuận kế toán trước thuế Điều chỉnh cho các khoản:,,927.286.664.154,812.318.068.437,,,927286664154.0,812318068437.0
02,02,02,Khấu hao tài sản cố định hữu hình và bất động sản đầu tư và hao mòn tài sản cố định vô hình,,708.479.715.218,729.082.116.853,,,708479715218.0,729082116853.0
03,03,03,Các khoản dự phòng (hoản nhập dự phòng),,5.661.166.042,(1.631.166.805),,,5661166042.0,-1631166805.0
04,04,04,Lãi chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,,(2.551.120.300),(9.568.542.587),,,-2551120300.0,-9568542587.0
05,05,05,Lãi từ hoạt động đầu tư,,(11.021.699.715),(16.890.281.081),,,-11021699715.0,-16890281081.0
06,06,06,Chi phí lãi vay,25,238.355.497.769,275.657.706.840,,25.0,238355497769.0,275657706840.0
08,08,08,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,,1.866.210.223.168,1.788.967.901.657,,,1866210223168.0,1788967901657.0
09,09,09,(Tăng) giảm các khoản phải thu,,(25.059.764.995),58.646.634.957,,,-25059764995.0,58646634957.0
10,10,10,(Tăng) giảm hàng tồn kho,,(76.311.015.956),172.211.091.188,,,-76311015956.0,172211091188.0
11,11,11,Tăng các khoản phải trả,,109.878.467.439,390.242.361.668,,,109878467439.0,390242361668.0
12,12,12,(Tăng) giảm chi phí trả trước,,(132.074.359.939),4.626.414.836,,,-132074359939.0,4626414836.0
13,13,13,Giảm chứng khoán kinh doanh,,-,56.987.855,,,,56987855.0
14,14,14,Tiền lãi vay đã trả,,(246.233.213.179),(284.228.302.929),,,-246233213179.0,-284228302929.0
15,15,15,Thuế thu nhập doanh nghiệp đã nộp,14,(214.932.091.398),(138.646.665.725),,14.0,-214932091398.0,-138646665725.0
16,16,16,Tiền thu khác từ hoạt động kinh doanh,,-,100.000.000,,,,100000000.0
17,17,17,Tiền chi khác cho hoạt động kinh doanh,,(72.154.406.140),(138.609.529.843),,,-72154406140.0,-138609529843.0
20,20,20,Lưu chuyển tiền thuần từ hoạt động kinh doanh,,1.209.323.839.000,1.853.366.893.664,,,1209323839000.0,1853366893664.0
,,,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,,,,
21,21,21,Tiền chi để mua sắm và xây dựng tài sản cố định,,(76.111.648.620),(90.579.229.773),,,-76111648620.0,-90579229773.0
22,22,22,Tiền thu do thanh lý tài sản cố định,,3.065.472.302,3.646.733.000,,,3065472302.0,3646733000.0
26,26,26,Tiền thu hồi đầu tư góp vốn vào đơn vị khác,,-,10.200.000.000,,,,10200000000.0
27,27,27,Tiền thu lãi và cố tức được chia,,9.482.628.144,14.570.667.632,,,9482628144.0,14570667632.0
30,30,30,Lưu chuyển tiền thuần sử dụng vào hoạt động đầu tư,,(63.563.548.174),(62.161.829.141),,,-63563548174.0,-62161829141.0
