row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc,Máy móc và thiết bị,Phương tiện vận tải,Thiết bị văn phòng,Tài sản khác,Tổng cộng,numeric__Nhà cửa và vật kiến trúc,numeric__Máy móc và thiết bị,numeric__Phương tiện vận tải,numeric__Thiết bị văn phòng,numeric__Tài sản khác,numeric__Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,
Số đầu năm (Đã trình bày lại - Thuyết minh số 32),Nguyên giá: > Số đầu năm (Đã trình bày lại - Thuyết minh số 32),Số đầu năm (Đã trình bày lại - Thuyết minh số 32),3.500.182.813.474,8.964.338.608.282,329.730.541.164,40.774.415.012,697.459.364.166,13.532.485.742.098,3500182813474.0,8964338608282.0,329730541164.0,40774415012.0,697459364166.0,13532485742098.0
Mua mới trong năm,Nguyên giá: > Mua mới trong năm,Mua mới trong năm,-,59.684.311.981,20.096.820.210,1.901.221.000,-,81.682.353.191,,59684311981.0,20096820210.0,1901221000.0,,81682353191.0
Đầu tư xây dựng cơ bản hoàn thành,Nguyên giá: > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,3.621.305.505,5.401.679.037,-,-,-,9.022.984.542,3621305505.0,5401679037.0,,,,9022984542.0
Thanh lý,Nguyên giá: > Thanh lý,Thanh lý,(25.701.309.376),(56.768.120.460),(5.238.574.813),-,-,(87.708.004.649),-25701309376.0,-56768120460.0,-5238574813.0,,,-87708004649.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,3.478.102.809.603,8.972.656.478.840,344.588.786.561,42.675.636.012,697.459.364.166,13.535.483.075.182,3478102809603.0,8972656478840.0,344588786561.0,42675636012.0,697459364166.0,13535483075182.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,,
Đã khấu hao hết,Trong đó: > Đã khấu hao hết,Đã khấu hao hết,200.764.542.786,977.553.346.540,120.308.419.480,19.140.208.128,40.671.003.074,1.358.437.520.008,200764542786.0,977553346540.0,120308419480.0,19140208128.0,40671003074.0,1358437520008.0
Chở thanh lý,Trong đó: > Chở thanh lý,Chở thanh lý,9.501.196.699,60.140.546.414,24.895.841.850,664.380.986,-,95.201.965.949,9501196699.0,60140546414.0,24895841850.0,664380986.0,,95201965949.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,,,
Số đầu năm (Đã trình bày lại - Thuyết minh số 32),Giá trị hao mòn lũy kế: > Số đầu năm (Đã trình bày lại - Thuyết minh số 32),Số đầu năm (Đã trình bày lại - Thuyết minh số 32),1.360.591.149.031,4.224.634.044.779,257.845.555.861,32.474.362.908,282.368.822.443,6.157.913.935.022,1360591149031.0,4224634044779.0,257845555861.0,32474362908.0,282368822443.0,6157913935022.0
Khấu hao trong năm,Giá trị hao mòn lũy kế: > Khấu hao trong năm,Khấu hao trong năm,126.629.553.409,512.503.468.072,35.635.464.430,4.255.216.198,24.350.907.030,703.374.609.139,126629553409.0,512503468072.0,35635464430.0,4255216198.0,24350907030.0,703374609139.0
Thanh lý,Giá trị hao mòn lũy kế: > Thanh lý,Thanh lý,(25.701.309.376),(55.519.589.613),(5.222.642.804),-,-,(86.443.541.793),-25701309376.0,-55519589613.0,-5222642804.0,,,-86443541793.0
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,1.461.519.393.064,4.681.617.923.238,288.258.377.487,36.729.579.106,306.719.729.473,6.774.845.002.368,1461519393064.0,4681617923238.0,288258377487.0,36729579106.0,306719729473.0,6774845002368.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,
Số đầu năm (Đã trình bày lại - Thuyết minh số 32),Giá trị còn lại: > Số đầu năm (Đã trình bày lại - Thuyết minh số 32),Số đầu năm (Đã trình bày lại - Thuyết minh số 32),2.139.591.664.443,4.739.704.563.503,71.884.985.303,8.300.052.104,415.090.541.723,7.374.571.807.076,2139591664443.0,4739704563503.0,71884985303.0,8300052104.0,415090541723.0,7374571807076.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,2.016.583.416.539,4.291.038.555.602,56.330.409.074,5.946.056.906,390.739.634.693,6.760.638.072.814,2016583416539.0,4291038555602.0,56330409074.0,5946056906.0,390739634693.0,6760638072814.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,,
Tạm thời không sử dụng,Trong đó: > Tạm thời không sử dụng,Tạm thời không sử dụng,-,52.940.790,-,-,-,52.940.790,,52940790.0,,,,52940790.0
