row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dư vốn cổ phần,Vốn khác thuộc chủ sở hữu,Cổ phiếu quỹ,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Tổng cộng,numeric__Vốn cổ phần,numeric__Thặng dư vốn cổ phần,numeric__Vốn khác thuộc chủ sở hữu,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Tổng cộng
Năm trước (Đã trình bày lại - Thuyết minh số 32),Năm trước (Đã trình bày lại - Thuyết minh số 32),Năm trước (Đã trình bày lại - Thuyết minh số 32),Năm trước (Đã trình bày lại - Thuyết minh số 32),Năm trước (Đã trình bày lại - Thuyết minh số 32),Năm trước (Đã trình bày lại - Thuyết minh số 32),Năm trước (Đã trình bày lại - Thuyết minh số 32),Năm trước (Đã trình bày lại - Thuyết minh số 32),Năm trước (Đã trình bày lại - Thuyết minh số 32),Năm trước (Đã trình bày lại - Thuyết minh số 32),,,,,,,
Số đầu năm,Năm trước (Đã trình bày lại - Thuyết minh số 32) > Số đầu năm,Số đầu năm,3.815.899.110.000,70.790.410.045,5.517.214.120,(902.752.100),366.706.495.008,926.852.997.364,5.184.863.474.437,3815899110000.0,70790410045.0,5517214120.0,-902752100.0,366706495008.0,926852997364.0,5184863474437.0
Cổ tức công bố (*),Năm trước (Đã trình bày lại - Thuyết minh số 32) > Cổ tức công bố (*),Cổ tức công bố (*),-,-,-,-,-,(572.312.866.500),(572.312.866.500),,,,,,-572312866500.0,-572312866500.0
Lợi nhuận thuần trong năm,Năm trước (Đã trình bày lại - Thuyết minh số 32) > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,633.604.697.855,633.604.697.855,,,,,,633604697855.0,633604697855.0
Phân phối,Phân phối,Phân phối,,,,,,,,,,,,,,
Lợi nhuận,Phân phối > Lợi nhuận,Lợi nhuận,-,-,-,-,147.459.000.000,(228.649.000.000),(81.190.000.000),,,,,147459000000.0,-228649000000.0,-81190000000.0
Điều chuyển quỹ,Phân phối > Điều chuyển quỹ,Điều chuyển quỹ,-,-,(5.517.214.120),-,5.517.214.120,-,-,,,-5517214120.0,,5517214120.0,,
Số cuối năm,Phân phối > Số cuối năm,Số cuối năm,3.815.899.110.000,70.790.410.045,-,(902.752.100),519.682.709.128,759.495.828.719,5.164.965.305.792,3815899110000.0,70790410045.0,,-902752100.0,519682709128.0,759495828719.0,5164965305792.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,3.815.899.110.000,70.790.410.045,-,(902.752.100),519.682.709.128,759.495.828.719,5.164.965.305.792,3815899110000.0,70790410045.0,,-902752100.0,519682709128.0,759495828719.0,5164965305792.0
Cổ tức công bố (*),Năm nay > Cổ tức công bố (*),Cổ tức công bố (*),-,-,-,-,-,(457.850.293.200),(457.850.293.200),,,,,,-457850293200.0,-457850293200.0
Lợi nhuận thuần trong năm,Năm nay > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,739.938.861.325,739.938.861.325,,,,,,739938861325.0,739938861325.0
Trích quỹ (**),Năm nay > Trích quỹ (**),Trích quỹ (**),-,-,-,-,96.202.000.000,(183.742.000.000),(87.540.000.000),,,,,96202000000.0,-183742000000.0,-87540000000.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,3.815.899.110.000,70.790.410.045,-,(902.752.100),615.884.709.128,857.842.396.844,5.359.513.873.917,3815899110000.0,70790410045.0,,-902752100.0,615884709128.0,857842396844.0,5359513873917.0
