row_label_raw,row_label_full,Mã số,TÀI SẢN,Thuyết minh,Số cuối năm,Số đầu năm (Đã trình bày lại - Thuyết minh số 32),numeric__TÀI SẢN,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm (Đã trình bày lại - Thuyết minh số 32)
100,100,100,A. TÀI SẢN NGĂN HẠN,,2.049.885.084.587,1.904.966.683.062,,,2049885084587.0,1904966683062.0
110,110,110,I. Tiền,4,816.926.189.637,773.484.450.538,,4.0,816926189637.0,773484450538.0
111,111,111,1. Tiền,,541.926.189.637,773.484.450.538,,,541926189637.0,773484450538.0
112,112,112,2. Các khoản tương đương tiền,,275.000.000.000,-,,,275000000000.0,
120,120,120,II. Đầu tư tài chính ngắn hạn,,804.151,804.151,,,804151.0,804151.0
121,121,121,1. Chứng khoán kinh doanh,5.1,804.151,804.151,,51.0,804151.0,804151.0
130,130,130,III. Các khoản phải thu ngắn hạn,,498.287.092.916,454.955.861.023,,,498287092916.0,454955861023.0
131,131,131,1. Phải thu ngắn hạn của khách hàng,6.1,375.595.830.993,336.078.834.430,,61.0,375595830993.0,336078834430.0
132,132,132,2. Trả trước cho người bán ngắn hạn,6.2,33.292.250.192,36.767.691.549,,62.0,33292250192.0,36767691549.0
136,136,136,3. Phải thu ngắn hạn khác,7,89.399.011.731,80.852.108.567,,7.0,89399011731.0,80852108567.0
139,139,139,4. Tài sản thiếu chờ xử lý,,-,1.257.226.477,,,,1257226477.0
140,140,140,IV. Hàng tồn kho,,720.476.498.001,648.284.076.185,,,720476498001.0,648284076185.0
141,141,141,1. Hàng tồn kho,8,750.459.213.372,678.795.788.123,,8.0,750459213372.0,678795788123.0
149,149,149,2. Dự phòng giảm giá hàng tồn kho,8,(29.982.715.371),(30.511.711.938),,8.0,-29982715371.0,-30511711938.0
150,150,150,V. Tài sản ngắn hạn khác,,14.194.499.882,28.241.491.165,,,14194499882.0,28241491165.0
151,151,151,1. Chi phí trả trước ngắn hạn,9,2.333.150.250,4.906.350.667,,9.0,2333150250.0,4906350667.0
152,152,152,2. Thuế GTGT được khấu trừ,,11.786.202.624,23.177.075.244,,,11786202624.0,23177075244.0
153,153,153,3. Thuế và các khoản khác phải thu Nhà nước,,75.147.008,158.065.254,,,75147008.0,158065254.0
