row_label_raw,row_label_full,Ông Lưu Đình Cường,Tổng Giám đốc,col_2,numeric__Tổng Giám đốc,numeric__col_2
Ông Phạm Đình Nhật Cường,Ông Phạm Đình Nhật Cường,Ông Phạm Đình Nhật Cường,Phó Tổng Giám đốc,,,
Ông Nguyễn Thanh Phúc,Ông Nguyễn Thanh Phúc,Ông Nguyễn Thanh Phúc,Phó Tổng Giám đốc,bổ nhiệm ngày 21 tháng 11 năm 2019,,
Ông Mai Văn Yên,Ông Mai Văn Yên,Ông Mai Văn Yên,Phó Tổng Giám đốc,miễn nhiệm ngày 1 tháng 10 năm 2019,,
