row_label_raw,row_label_full,col_0,Năm nay,VND > Năm trước (Đã trình bày lại - Thuyết minh số 32),numeric__Năm nay,numeric__VND > Năm trước (Đã trình bày lại - Thuyết minh số 32)
"Chi phí nguyên liệu, vật liệu","Chi phí nguyên liệu, vật liệu","Chi phí nguyên liệu, vật liệu",5.308.040.471.236,4.957.052.128.112,5308040471236.0,4957052128112.0
Chi phí dịch vụ mua ngoài và chi phí khác,Chi phí dịch vụ mua ngoài và chi phí khác,Chi phí dịch vụ mua ngoài và chi phí khác,1.079.657.103.108,932.643.915.386,1079657103108.0,932643915386.0
Chi phí khấu hao và hao mòn tài sản cố định,Chi phí khấu hao và hao mòn tài sản cố định,Chi phí khấu hao và hao mòn tài sản cố định,708.276.208.957,728.158.703.334,708276208957.0,728158703334.0
Chi phí nhân viên,Chi phí nhân viên,Chi phí nhân viên,595.680.935.451,571.490.777.503,595680935451.0,571490777503.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,7.691.654.718.752,7.189.345.524.335,7691654718752.0,7189345524335.0
