row_label_raw,row_label_full,col_0,Năm nay,VND > Năm trước(Dã trình bày lại - Thuyết minh số 32),numeric__Năm nay,numeric__VND > Năm trước(Dã trình bày lại - Thuyết minh số 32)
Lãi chênh lệch tỷ giá hối đoái,Lãi chênh lệch tỷ giá hối đoái,Lãi chênh lệch tỷ giá hối đoái,15.227.098.161,16.637.661.335,15227098161.0,16637661335.0
Lãi tiền gửi ngân hàng,Lãi tiền gửi ngân hàng,Lãi tiền gửi ngân hàng,7.092.262.944,12.071.660.432,7092262944.0,12071660432.0
Thu nhập từ cổ tức,Thu nhập từ cổ tức,Thu nhập từ cổ tức,2.310.001.200,2.499.007.200,2310001200.0,2499007200.0
Chiết khấu thanh toán được hưởng,Chiết khấu thanh toán được hưởng,Chiết khấu thanh toán được hưởng,987.230.530,7.842.887.962,987230530.0,7842887962.0
Khác,Khác,Khác,285.436.317,1.200.000.000,285436317.0,1200000000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,25.902.029.152,40.251.216.929,25902029152.0,40251216929.0
