row_label_raw,row_label_full,Chỉ tiêu,Mã số,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018 > Số liệu trình bày trước đây,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018 > Ảnh hưởng của việc trình bày lại,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018 > Số liệu đã được trình bày lại,numeric__Mã số,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018 > Số liệu trình bày trước đây,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018 > Ảnh hưởng của việc trình bày lại,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018 > Số liệu đã được trình bày lại
BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH RIÊNG,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH RIÊNG,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH RIÊNG,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH RIÊNG,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH RIÊNG,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH RIÊNG,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH RIÊNG,,,,
Doanh thu bán hàng và cung cấp dịch vụ,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH RIÊNG > Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,1,8.878.307.231.969,1.581.992.500,8.879.889.224.469,1.0,8878307231969.0,1581992500.0,8879889224469.0
Giá vốn hàng bán và dịch vụ cung cấp,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH RIÊNG > Giá vốn hàng bán và dịch vụ cung cấp,Giá vốn hàng bán và dịch vụ cung cấp,11,(6.973.291.227.574),(1.426.035.961),(6.974.717.263.535),11.0,-6973291227574.0,-1426035961.0,-6974717263535.0
Doanh thu hoạt động tài chính,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH RIÊNG > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,21,31.174.238.702,9.076.978.227,40.251.216.929,21.0,31174238702.0,9076978227.0,40251216929.0
Chi phí bán hàng,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH RIÊNG > Chi phí bán hàng,Chi phí bán hàng,25,(135.430.576.934),(5.085.736.800),(140.516.313.734),25.0,-135430576934.0,-5085736800.0,-140516313734.0
Chi phí quản lý doanh nghiệp,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH RIÊNG > Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,26,(187.096.876.479),(292.959.305),(187.389.835.784),26.0,-187096876479.0,-292959305.0,-187389835784.0
Thu nhập khác,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH RIÊNG > Thu nhập khác,Thu nhập khác,31,8.901.167.449,2.621.812.186,11.522.979.635,31.0,8901167449.0,2621812186.0,11522979635.0
Tổng lợi nhuận kế toán trước thuế,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH RIÊNG > Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,50,805.842.017.590,6.476.050.847,812.318.068.437,50.0,805842017590.0,6476050847.0,812318068437.0
Chi phí thuế TNDN hiện hành,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH RIÊNG > Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,51,(167.176.001.396),(14.219.736.178),(181.395.737.574),51.0,-167176001396.0,-14219736178.0,-181395737574.0
Lợi nhuận sau thuế TNDN,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH RIÊNG > Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,60,641.348.383.186,(7.743.685.331),633.604.697.855,60.0,641348383186.0,-7743685331.0,633604697855.0
