row_label_raw,row_label_full,col_0,Năm nay,VNDNăm trước(Dã trình bày lại - Thuyết minh số 32),numeric__Năm nay,numeric__VNDNăm trước(Dã trình bày lại - Thuyết minh số 32)
Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,927.286.664.154,812.318.068.437,927286664154.0,812318068437.0
Thuế TNDN theo thuế suất áp dụng cho Công ty,Thuế TNDN theo thuế suất áp dụng cho Công ty,Thuế TNDN theo thuế suất áp dụng cho Công ty,185.457.332.831,162.463.613.687,185457332831.0,162463613687.0
Các khoản điều chỉnh:,Các khoản điều chỉnh:,Các khoản điều chỉnh:,,,,
Chi phí không được trừ,Các khoản điều chỉnh: > Chi phí không được trừ,Chi phí không được trừ,3.993.371.084,11.696.707.528,3993371084.0,11696707528.0
Thu nhập cổ tức,Các khoản điều chỉnh: > Thu nhập cổ tức,Thu nhập cổ tức,(462.000.240),(499.801.440),-462000240.0,-499801440.0
Chi phí khấu hao của tài sản không sử dụng,Các khoản điều chỉnh: > Chi phí khấu hao của tài sản không sử dụng,Chi phí khấu hao của tài sản không sử dụng,(1.824.156.740),3.425.371.127,-1824156740.0,3425371127.0
Khác,Các khoản điều chỉnh: > Khác,Khác,183.255.894,1.627.479.680,183255894.0,1627479680.0
Chi phí thuế TNDN,Các khoản điều chỉnh: > Chi phí thuế TNDN,Chi phí thuế TNDN,187.347.802.829,178.713.370.582,187347802829.0,178713370582.0
