row_label_raw,row_label_full,Mã số,NGUỒN VỐN,Thuyết minh,Số cuối năm,Số đầu năm (Đã trình bày lại - Thuyết minh số 32),numeric__NGUỒN VỐN,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm (Đã trình bày lại - Thuyết minh số 32)
300,300,300,C. NỘ PHẢI TRẢ,,4.923.987.629.380,5.465.276.981.245,,,4923987629380.0,5465276981245.0
310,310,310,I. Nợ ngắn hạn,,4.101.746.139.131,3.742.309.786.523,,,4101746139131.0,3742309786523.0
311,311,311,1. Phải trả người bán ngắn hạn,13.1,1.270.725.405.831,1.108.149.282.087,,131.0,1270725405831.0,1108149282087.0
312,312,312,2. Người mua trả tiền trước ngắn hạn,13.2,45.318.459.416,50.141.746.865,,132.0,45318459416.0,50141746865.0
313,313,313,3. Thuế và các khoản phải nộp Nhà nước,14,57.264.667.163,123.992.655.475,,14.0,57264667163.0,123992655475.0
314,314,314,4. Phải trả người lao động,,119.048.225.444,125.623.545.512,,,119048225444.0,125623545512.0
315,315,315,5. Chi phí phải trả ngắn hạn,15,48.909.103.605,56.165.690.132,,15.0,48909103605.0,56165690132.0
318,318,318,6. Doanh thu chưa thực hiện ngắn hạn,16,109.375.837.940,111.165.348.781,,16.0,109375837940.0,111165348781.0
319,319,319,7. Phải trả ngắn hạn khác,17,18.711.546.569,16.386.091.200,,17.0,18711546569.0,16386091200.0
320,320,320,8. Vay ngắn hạn,18,2.374.628.430.111,2.114.450.519.481,,18.0,2374628430111.0,2114450519481.0
322,322,322,"9. Quỹ khen thưởng, phúc lợi",19,57.764.463.052,36.234.906.990,,19.0,57764463052.0,36234906990.0
330,330,330,II. Nợ dài hạn,,822.241.490.249,1.722.967.194.722,,,822241490249.0,1722967194722.0
338,338,338,1. Vay dài hạn,18,807.534.679.021,1.715.357.185.936,,18.0,807534679021.0,1715357185936.0
342,342,342,2. Dự phòng phải trả dài hạn,20,13.329.071.395,7.610.008.786,,20.0,13329071395.0,7610008786.0
343,343,343,3. Quỹ phát triển khoa học và công nghệ,,1.377.739.833,-,,,1377739833.0,
400,400,400,D. VỐN CHỦ SỞ HỮU,21,5.359.513.873.917,5.164.965.305.792,,21.0,5359513873917.0,5164965305792.0
410,410,410,I. Vốn chủ sở hữu,,5.359.513.873.917,5.164.965.305.792,,,5359513873917.0,5164965305792.0
411,411,411,1. Vốn cổ phần,,3.815.899.110.000,3.815.899.110.000,,,3815899110000.0,3815899110000.0
411a,411a,411a,- Cổ phiếu phổ thông có quyền biểu quyết,,3.815.899.110.000,3.815.899.110.000,,,3815899110000.0,3815899110000.0
412,412,412,2. Thặng dư vốn cổ phần,,70.790.410.045,70.790.410.045,,,70790410045.0,70790410045.0
415,415,415,3. Cổ phiếu quỹ,,(902.752.100),(902.752.100),,,-902752100.0,-902752100.0
418,418,418,4. Quỹ đầu tư phát triển,,615.884.709.128,519.682.709.128,,,615884709128.0,519682709128.0
421,421,421,5. Lợi nhuận sau thuế chưa phân phối,,857.842.396.844,759.495.828.719,,,857842396844.0,759495828719.0
421a,421a,421a,- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,,117.903.535.519,125.891.130.864,,,117903535519.0,125891130864.0
421b,421b,421b,- Lợi nhuận sau thuế chưa phân phối năm nay,,739.938.861.325,633.604.697.855,,,739938861325.0,633604697855.0
440,440,440,TỔNG CỘNG NGUỒN VỐN,,10.283.501.503.297,10.630.242.287.037,,,10283501503297.0,10630242287037.0
