row_label_raw,row_label_full,Bà Trung Thị Tâm Thanh > Bà Lê Thị Thu Thủy,Trường ban > Thành viên,bổ nhiệm ngày 24 tháng 5 năm 2019,numeric__Trường ban > Thành viên,numeric__bổ nhiệm ngày 24 tháng 5 năm 2019
Bà Trần Thị Bích Thủy,Bà Trần Thị Bích Thủy,Bà Trần Thị Bích Thủy,Thành viên,,,
Bà Nguyễn Thị Tố Nga,Bà Nguyễn Thị Tố Nga,Bà Nguyễn Thị Tố Nga,Thành viên,miễn nhiệm ngày 24 tháng 5 năm 2019,,
