row_label_raw,row_label_full,Số đầu năm > Trích lập trong năm > Hoàn nhập trong năm,Năm nay > 7.264.482.900 > 121.555.000 > (51.000.250),Đơn vị tính: VND > Năm trước > 17.530.932.067 > 328.550.833 > (3.390.400.000),numeric__Năm nay > 7.264.482.900 > 121.555.000 > (51.000.250),numeric__Đơn vị tính: VND > Năm trước > 17.530.932.067 > 328.550.833 > (3.390.400.000)
Giảm khác,Giảm khác,Giảm khác,-,(7.204.600.000),,-7204600000.0
Số cuối năm,Số cuối năm,Số cuối năm,7.335.037.650,7.264.482.900,7335037650.0,7264482900.0
Trong đó:Dự phòng phải thu khách hàng ngăn hạn khóđời,Trong đó:Dự phòng phải thu khách hàng ngăn hạn khóđời,Trong đó:Dự phòng phải thu khách hàng ngăn hạn khóđời,6.835.037.650,6.764.482.900,6835037650.0,6764482900.0
Dự phòng phải thu về cho vay khóđời,Dự phòng phải thu về cho vay khóđời,Dự phòng phải thu về cho vay khóđời,500.000.000,500.000.000,500000000.0,500000000.0
