row_label_raw,row_label_full,Ông Đặng Thành Tâm,Chữ tịch Hội đồng Quản trị,numeric__Chữ tịch Hội đồng Quản trị
Bà Nguyễn Thị Thu Hương,Bà Nguyễn Thị Thu Hương,Bà Nguyễn Thị Thu Hương,Thành viên,
Ông Ngô Mạnh Hùng,Ông Ngô Mạnh Hùng,Ông Ngô Mạnh Hùng,Thành viên,
Ông Huỳnh Phát,Ông Huỳnh Phát,Ông Huỳnh Phát,Thành viên,
Ông Phạm Phúc Hiếu,Ông Phạm Phúc Hiếu,Ông Phạm Phúc Hiếu,Thành viên,
