row_label_raw,row_label_full,Bên liên quan > Chi phí phải trả ngắn hạn (Thuyết minh số 17),Nội dungnghiệp vụ > Chi phí phải trả ngắn hạn (Thuyết minh số 17),Số cuối năm > Chi phí phải trả ngắn hạn (Thuyết minh số 17),Đơn vị tính: VND > Chi phí phải trả ngắn hạn (Thuyết minh số 17),numeric__Nội dungnghiệp vụ > Chi phí phải trả ngắn hạn (Thuyết minh số 17),numeric__Số cuối năm > Chi phí phải trả ngắn hạn (Thuyết minh số 17),numeric__Đơn vị tính: VND > Chi phí phải trả ngắn hạn (Thuyết minh số 17)
Công ty Cổ phần Khu Công nghiệpSài Gòn - Hải Phòng,Công ty Cổ phần Khu Công nghiệpSài Gòn - Hải Phòng,Công ty Cổ phần Khu Công nghiệpSài Gòn - Hải Phòng,Lãi vay phải trảngắn hạn,15.582.883.594,4.385.872.097,,15582883594.0,4385872097.0
Công ty Cổ phần Đầu tư và Pháttriển hạ tầng Khu công nghệ cao SàiGòn,Công ty Cổ phần Đầu tư và Pháttriển hạ tầng Khu công nghệ cao SàiGòn,Công ty Cổ phần Đầu tư và Pháttriển hạ tầng Khu công nghệ cao SàiGòn,Lãi vay phải trảngắn hạn,505.488.735,370.691.739,,505488735.0,370691739.0
,,,,16.088.372.329,4.756.563.836,,16088372329.0,4756563836.0
Chi phí phải trả dài hạn (Thuyết minh số 17),Chi phí phải trả dài hạn (Thuyết minh số 17),Chi phí phải trả dài hạn (Thuyết minh số 17),Chi phí phải trả dài hạn (Thuyết minh số 17),Chi phí phải trả dài hạn (Thuyết minh số 17),Chi phí phải trả dài hạn (Thuyết minh số 17),,,
Công ty Cổ phần Khu Công nghiệpSài Gòn - Hải Phòng,Chi phí phải trả dài hạn (Thuyết minh số 17) > Công ty Cổ phần Khu Công nghiệpSài Gòn - Hải Phòng,Công ty Cổ phần Khu Công nghiệpSài Gòn - Hải Phòng,Lãi vay phải tràdài hạn,20.454.395.541,2.887.232.877,,20454395541.0,2887232877.0
,,,,20.454.395.541,2.887.232.877,,20454395541.0,2887232877.0
"Các khoản phải trả, phải nộp ngắn hạn khác(Thuyết minh số 18)","Các khoản phải trả, phải nộp ngắn hạn khác(Thuyết minh số 18)","Các khoản phải trả, phải nộp ngắn hạn khác(Thuyết minh số 18)","Các khoản phải trả, phải nộp ngắn hạn khác(Thuyết minh số 18)","Các khoản phải trả, phải nộp ngắn hạn khác(Thuyết minh số 18)","Các khoản phải trả, phải nộp ngắn hạn khác(Thuyết minh số 18)",,,
Công ty Cổ phần Khu công nghiệpSài Gòn - Bắc Giang,"Các khoản phải trả, phải nộp ngắn hạn khác(Thuyết minh số 18) > Công ty Cổ phần Khu công nghiệpSài Gòn - Bắc Giang",Công ty Cổ phần Khu công nghiệpSài Gòn - Bắc Giang,Phải trả khác,-,80.050.248.635,,,80050248635.0
,,,,-,80.050.248.635,,,80050248635.0
Vay ngắn hạn (Thuyết minh số 19),Vay ngắn hạn (Thuyết minh số 19),Vay ngắn hạn (Thuyết minh số 19),Vay ngắn hạn (Thuyết minh số 19),Vay ngắn hạn (Thuyết minh số 19),Vay ngắn hạn (Thuyết minh số 19),,,
Công ty Cổ phần Khu Công nghiệpSài Gòn - Hải Phòng (i),Vay ngắn hạn (Thuyết minh số 19) > Công ty Cổ phần Khu Công nghiệpSài Gòn - Hải Phòng (i),Công ty Cổ phần Khu Công nghiệpSài Gòn - Hải Phòng (i),Vay ngắn hạn,107.625.500.000,134.070.276.339,,107625500000.0,134070276339.0
Công ty Cổ phần Đầu tư và Pháttriển hạ tầng Khu công nghệ cao SàiGòn (ii),Vay ngắn hạn (Thuyết minh số 19) > Công ty Cổ phần Đầu tư và Pháttriển hạ tầng Khu công nghệ cao SàiGòn (ii),Công ty Cổ phần Đầu tư và Pháttriển hạ tầng Khu công nghệ cao SàiGòn (ii),Vay ngắn hạn,112.330.830.000,112.330.830.000,,112330830000.0,112330830000.0
Công ty Cổ phần Đầu tư Sài Gòn -Đà Nẵng,Vay ngắn hạn (Thuyết minh số 19) > Công ty Cổ phần Đầu tư Sài Gòn -Đà Nẵng,Công ty Cổ phần Đầu tư Sài Gòn -Đà Nẵng,Vay dài hạn đếnhạn trả,1.500.000.000,1.500.000.000,,1500000000.0,1500000000.0
,,,,221.456.330.000,247.901.106.339,,221456330000.0,247901106339.0
Vay dài hạn (Thuyết minh số 19),Vay dài hạn (Thuyết minh số 19),Vay dài hạn (Thuyết minh số 19),Vay dài hạn (Thuyết minh số 19),Vay dài hạn (Thuyết minh số 19),Vay dài hạn (Thuyết minh số 19),,,
Công ty Cổ phần Khu Công nghiệpSài Gòn - Hải Phòng (iii),Vay dài hạn (Thuyết minh số 19) > Công ty Cổ phần Khu Công nghiệpSài Gòn - Hải Phòng (iii),Công ty Cổ phần Khu Công nghiệpSài Gòn - Hải Phòng (iii),Vay dài hạn,206.070.276.339,165.400.000.000,,206070276339.0,165400000000.0
Đặng Thành Tâm,Vay dài hạn (Thuyết minh số 19) > Đặng Thành Tâm,Đặng Thành Tâm,Vay dài hạn,-,3.849.163.882,,,3849163882.0
,,,,206.070.276.339,169.249.163.882,,206070276339.0,169249163882.0
