row_label_raw,row_label_full,col_0,Số cuối năm,Số cuối năm > Giá trị,Đơn vị tính: VND > Dự phòng,Đơn vị tính: VND > Giá trị,numeric__Số cuối năm,numeric__Số cuối năm > Giá trị,numeric__Đơn vị tính: VND > Dự phòng,numeric__Đơn vị tính: VND > Giá trị
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,,,
Phải thu từ chuyển nhượng cổ phần (i),Ngắn hạn > Phải thu từ chuyển nhượng cổ phần (i),Phải thu từ chuyển nhượng cổ phần (i),549.714.632.444,-,672.730.000.000,-,549714632444.0,,672730000000.0,
Ứng trước cho PVcomBank liên quan đến mua khoản đầu tư,Ngắn hạn > Ứng trước cho PVcomBank liên quan đến mua khoản đầu tư,Ứng trước cho PVcomBank liên quan đến mua khoản đầu tư,191.690.284.000,-,-,-,191690284000.0,,,
Phải thu Công ty Cổ phần Tư vấn và Đầu tư Kinh Bắc liên quan đến công nợ với Công ty Cổ phần Thủy điện SGI - Lào (ii),Ngắn hạn > Phải thu Công ty Cổ phần Tư vấn và Đầu tư Kinh Bắc liên quan đến công nợ với Công ty Cổ phần Thủy điện SGI - Lào (ii),Phải thu Công ty Cổ phần Tư vấn và Đầu tư Kinh Bắc liên quan đến công nợ với Công ty Cổ phần Thủy điện SGI - Lào (ii),21.766.558.152,-,151.146.558.152,-,21766558152.0,,151146558152.0,
Phải thu khác từ các bên liên quan (Thuyết minh số 27),Ngắn hạn > Phải thu khác từ các bên liên quan (Thuyết minh số 27),Phải thu khác từ các bên liên quan (Thuyết minh số 27),46.810.136.608,-,4.070.772.420,-,46810136608.0,,4070772420.0,
Phải thu Ủy ban Nhân dân tỉnh Bắc Ninh tiền hỗ trợ giá cho thuê lại đất có cơ sở hạ tầng (iii),Ngắn hạn > Phải thu Ủy ban Nhân dân tỉnh Bắc Ninh tiền hỗ trợ giá cho thuê lại đất có cơ sở hạ tầng (iii),Phải thu Ủy ban Nhân dân tỉnh Bắc Ninh tiền hỗ trợ giá cho thuê lại đất có cơ sở hạ tầng (iii),19.440.000.000,-,19.440.000.000,-,19440000000.0,,19440000000.0,
Phải thu tiền đặt cọc (iv),Ngắn hạn > Phải thu tiền đặt cọc (iv),Phải thu tiền đặt cọc (iv),12.851.128.404,-,12.851.128.404,-,12851128404.0,,12851128404.0,
Phải thu Ủy ban Nhân dân Xã Vân Dương,Ngắn hạn > Phải thu Ủy ban Nhân dân Xã Vân Dương,Phải thu Ủy ban Nhân dân Xã Vân Dương,3.327.780.000,,2.228.672.000,-,3327780000.0,,2228672000.0,
Phải thu khác,Ngắn hạn > Phải thu khác,Phải thu khác,8.571.309.538,-,7.551.529.644,-,8571309538.0,,7551529644.0,
,,,854.171.829.146,-,870.018.660.620,-,854171829146.0,,870018660620.0,
Dải hạn,Dải hạn,Dải hạn,Dải hạn,Dải hạn,Dải hạn,Dải hạn,,,,
Phải thu từ các bên liên quan (Thuyết minh số 27),Dải hạn > Phải thu từ các bên liên quan (Thuyết minh số 27),Phải thu từ các bên liên quan (Thuyết minh số 27),355.300.428.072,-,172.291.671.329,-,355300428072.0,,172291671329.0,
Công ty Cổ phần Dịch vụ Kinh Bắc (v),Dải hạn > Công ty Cổ phần Dịch vụ Kinh Bắc (v),Công ty Cổ phần Dịch vụ Kinh Bắc (v),40.925.135.593,-,15.358.350.117,,40925135593.0,,15358350117.0,
Phải thu khác,Dải hạn > Phải thu khác,Phải thu khác,60.000.000,-,60.000.000,-,60000000.0,,60000000.0,
,,,396.285.563.665,-,187.710.021.446,-,396285563665.0,,187710021446.0,
