row_label_raw,row_label_full,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,Năm nay > Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,Đơn vị tính: VND > Năm trước > Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,numeric__Năm nay > Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,numeric__Đơn vị tính: VND > Năm trước > Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm
Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,5.093.403.450,5.237.606.937,5093403450.0,5237606937.0
Chi phí nhân viên quản lý,Chi phí nhân viên quản lý,Chi phí nhân viên quản lý,23.705.289.246,21.325.525.573,23705289246.0,21325525573.0
Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,17.752.381.708,9.714.457.372,17752381708.0,9714457372.0
Khác,Khác,Khác,6.413.799.452,6.555.054.852,6413799452.0,6555054852.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,52.964.873.856,42.832.644.734,52964873856.0,42832644734.0
Các khoản chi phí bán hàng phát sinh trong năm,Các khoản chi phí bán hàng phát sinh trong năm,Các khoản chi phí bán hàng phát sinh trong năm,Các khoản chi phí bán hàng phát sinh trong năm,Các khoản chi phí bán hàng phát sinh trong năm,,
Chi phí làm logo của Công ty,Các khoản chi phí bán hàng phát sinh trong năm > Chi phí làm logo của Công ty,Chi phí làm logo của Công ty,-,14.901.600.000,,14901600000.0
"Phi tư vấn pháp lý, môi giới bán hàng","Các khoản chi phí bán hàng phát sinh trong năm > Phi tư vấn pháp lý, môi giới bán hàng","Phi tư vấn pháp lý, môi giới bán hàng",12.112.370.207,4.633.071.893,12112370207.0,4633071893.0
Chi phí nhân viên bán hàng,Các khoản chi phí bán hàng phát sinh trong năm > Chi phí nhân viên bán hàng,Chi phí nhân viên bán hàng,1.682.198.000,2.213.972.118,1682198000.0,2213972118.0
Khác,Các khoản chi phí bán hàng phát sinh trong năm > Khác,Khác,20.959.566,16.000.000,20959566.0,16000000.0
TỔNG CỘNG,Các khoản chi phí bán hàng phát sinh trong năm > TỔNG CỘNG,TỔNG CỘNG,13.815.527.773,21.764.644.011,13815527773.0,21764644011.0
