row_label_raw,row_label_full,col_0,Số đầu năm > Giá trị,Số đầu năm > Số có khả năng trả nợ,Số phát sinh trong năm > Tăng,Số phát sinh trong năm > Giảm,Số cuối năm > Giá trị,Số cuối năm > Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năng trả nợ,numeric__Số phát sinh trong năm > Tăng,numeric__Số phát sinh trong năm > Giảm,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năng trả nợ
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,,,
Vay dài hạn đến hạn trả(Thuyết minh 19.2),Vay ngắn hạn > Vay dài hạn đến hạn trả(Thuyết minh 19.2),Vay dài hạn đến hạn trả(Thuyết minh 19.2),1.020.000.000.000,1.020.000.000.000,-,(420.390.111.258),599.609.888.742,599.609.888.742,1020000000000.0,1020000000000.0,,-420390111258.0,599609888742.0,599609888742.0
Vay các bên liên quan(Thuyết minh số 27),Vay ngắn hạn > Vay các bên liên quan(Thuyết minh số 27),Vay các bên liên quan(Thuyết minh số 27),247.901.106.339,247.901.106.339,133.555.223.661,(160.000.000.000),221.456.330.000,221.456.330.000,247901106339.0,247901106339.0,133555223661.0,-160000000000.0,221456330000.0,221456330000.0
Vay đối tượng khác,Vay ngắn hạn > Vay đối tượng khác,Vay đối tượng khác,1.333.318.452,1.333.318.452,-,(1.333.318.452),-,-,1333318452.0,1333318452.0,,-1333318452.0,,
TỔNG CỘNG,Vay ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,1.269.234.424.791,1.269.234.424.791,133.555.223.661,(581.723.429.710),821.066.218.742,821.066.218.742,1269234424791.0,1269234424791.0,133555223661.0,-581723429710.0,821066218742.0,821066218742.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,,,
Vay các bên liên quan(Thuyết minh số 27),Vay dài hạn > Vay các bên liên quan(Thuyết minh số 27),Vay các bên liên quan(Thuyết minh số 27),169.249.163.882,169.249.163.882,72.000.000.000,(35.178.887.543),206.070.276.339,206.070.276.339,169249163882.0,169249163882.0,72000000000.0,-35178887543.0,206070276339.0,206070276339.0
Vay ngân hàng(Thuyết minh số 19.1),Vay dài hạn > Vay ngân hàng(Thuyết minh số 19.1),Vay ngân hàng(Thuyết minh số 19.1),27.984.180.300,27.984.180.300,50.845.179.100,(38.703.022.000),40.126.337.400,40.126.337.400,27984180300.0,27984180300.0,50845179100.0,-38703022000.0,40126337400.0,40126337400.0
Trái phiếu phát hành(Thuyết minh số 19.2),Vay dài hạn > Trái phiếu phát hành(Thuyết minh số 19.2),Trái phiếu phát hành(Thuyết minh số 19.2),349.293.602.000,349.293.602.000,420.706.398.000,(470.000.000.000),300.000.000.000,300.000.000.000,349293602000.0,349293602000.0,420706398000.0,-470000000000.0,300000000000.0,300000000000.0
TỔNG CỘNG,Vay dài hạn > TỔNG CỘNG,TỔNG CỘNG,546.526.946.182,546.526.946.182,543.551.577.100,(543.881.909.543),546.196.613.739,546.196.613.739,546526946182.0,546526946182.0,543551577100.0,-543881909543.0,546196613739.0,546196613739.0
