row_label_raw,row_label_full,Khoản mục trên Báo cáo kết quả kinh doanh hợp nhất,Số đã báo cáo trên báo cáo tài chính hợp nhất cho năm tài chính kết thúc ngày 31/12/2014 > Triệu VND,Điều chỉnh > Triệu VND,Trình bày lại trên báo cáo tài chính hợp nhất cho năm tài chính kết thúc ngày 31/12/2015 > Triệu VND,numeric__Số đã báo cáo trên báo cáo tài chính hợp nhất cho năm tài chính kết thúc ngày 31/12/2014 > Triệu VND,numeric__Điều chỉnh > Triệu VND,numeric__Trình bày lại trên báo cáo tài chính hợp nhất cho năm tài chính kết thúc ngày 31/12/2015 > Triệu VND
Thu nhập lãi và các khoản thu nhập tương tự (*),Thu nhập lãi và các khoản thu nhập tương tự (*),Thu nhập lãi và các khoản thu nhập tương tự (*),41.075.588,281.423,41.357.011,41075588.0,281423.0,41357011.0
Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,(23.495.402),507,(23.494.895),-23495402.0,507.0,-23494895.0
Thu nhập từ hoạt động dịch vụ (*),Thu nhập từ hoạt động dịch vụ (*),Thu nhập từ hoạt động dịch vụ (*),2.404.468,(286.982),2.117.486,2404468.0,-286982.0,2117486.0
Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,(936.683),(1.942),(938.625),-936683.0,-1942.0,-938625.0
Lãi thuần từ hoạt động kinh doanh ngoại hối,Lãi thuần từ hoạt động kinh doanh ngoại hối,Lãi thuần từ hoạt động kinh doanh ngoại hối,386.539,69,386.608,386539.0,69.0,386608.0
Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,3.742.898,1.217,3.744.115,3742898.0,1217.0,3744115.0
Chi phí hoạt động khác,Chi phí hoạt động khác,Chi phí hoạt động khác,(2.351.412),5.213,(2.346.199),-2351412.0,5213.0,-2346199.0
Chi phí hoạt động,Chi phí hoạt động,Chi phí hoạt động,(9.826.686),22.190,(9.804.496),-9826686.0,22190.0,-9804496.0
Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,(3.901.965),(20.711),(3.922.676),-3901965.0,-20711.0,-3922676.0
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,(1.575.269),(312),(1.575.581),-1575269.0,-312.0,-1575581.0
Lợi ích của cổ đông không kiểm soát,Lợi ích của cổ đông không kiểm soát,Lợi ích của cổ đông không kiểm soát,15.096,(99),14.997,15096.0,-99.0,14997.0
