row_label_raw,row_label_full,col_0,31/12/2015,31/12/2014Trình bày lại,numeric__31/12/2015,numeric__31/12/2014Trình bày lại
,,,Triệu VND,Triệu VND,,
"Các khoản thu, chi hộ các tổ chức khác","Các khoản thu, chi hộ các tổ chức khác","Các khoản thu, chi hộ các tổ chức khác",31.213.296,24.681.794,31213296.0,24681794.0
Tiền giữ hộ và chờ thanh toán,Tiền giữ hộ và chờ thanh toán,Tiền giữ hộ và chờ thanh toán,44.055,315.624,44055.0,315624.0
Thuế TNDN phải trả,Thuế TNDN phải trả,Thuế TNDN phải trả,155.920,242.155,155920.0,242155.0
Các khoản chờ thanh toán khác,Các khoản chờ thanh toán khác,Các khoản chờ thanh toán khác,933.961,631.128,933961.0,631128.0
Điều chuyển vốn chờ thanh toán,Điều chuyển vốn chờ thanh toán,Điều chuyển vốn chờ thanh toán,13.727,-,13727.0,
Phải trả khác liên quan đến nghiệp vụ chứng khoán,Phải trả khác liên quan đến nghiệp vụ chứng khoán,Phải trả khác liên quan đến nghiệp vụ chứng khoán,303.526,180.389,303526.0,180389.0
Phải trả thuế khác,Phải trả thuế khác,Phải trả thuế khác,83.759,234.331,83759.0,234331.0
Phải trả Bảo hiểm tiền gửi,Phải trả Bảo hiểm tiền gửi,Phải trả Bảo hiểm tiền gửi,-,82.539,,82539.0
Phải trả NHNN do thu hồi nợ đã xóa,Phải trả NHNN do thu hồi nợ đã xóa,Phải trả NHNN do thu hồi nợ đã xóa,79.484,75.614,79484.0,75614.0
Các khoản phải trả liên quan đến hoạt động tài trợ thương mại,Các khoản phải trả liên quan đến hoạt động tài trợ thương mại,Các khoản phải trả liên quan đến hoạt động tài trợ thương mại,7.799,10.085,7799.0,10085.0
Thanh toán khác với các tổ chức khác,Thanh toán khác với các tổ chức khác,Thanh toán khác với các tổ chức khác,-,12.692,,12692.0
Chuyển tiền phải trả,Chuyển tiền phải trả,Chuyển tiền phải trả,94.118,149.019,94118.0,149019.0
Phải trả cho nhà thầu xây dựng,Phải trả cho nhà thầu xây dựng,Phải trả cho nhà thầu xây dựng,80.753,107.063,80753.0,107063.0
Các khoản phải trả khác,Các khoản phải trả khác,Các khoản phải trả khác,426.450,127.562,426450.0,127562.0
,,,33.436.848,26.849.995,33436848.0,26849995.0
