row_label_raw,row_label_full,STT,CHỈ TIÊU,Thuyết minh,31/12/2015,31/12/2014 Trình bày lại,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__31/12/2015,numeric__31/12/2014 Trình bày lại
A,A,A,TÀI SẢN,,,,,,,
I.,A > I.,I.,"Tiền mặt, vàng bạc, đá quý",5,5.090.768,4.630.740,,5.0,5090768.0,4630740.0
II.,A > II.,II.,Tiền gửi tại Ngân hàng Nhà nước,6,11.892.969,9.876.451,,6.0,11892969.0,9876451.0
III.,A > III.,III.,Tiền gửi và cho vay các TCTD khác,7,66.018.789,75.433.624,,7.0,66018789.0,75433624.0
1.,A > 1.,1.,Tiền gửi tại các TCTD khác,,64.385.375,67.162.062,,,64385375.0,67162062.0
2.,A > 2.,2.,Cho vay các TCTD khác,,1.633.414,8.271.562,,,1633414.0,8271562.0
3.,3.,3.,Dự phòng rủi ro,,-,-,,,,
IV.,3. > IV.,IV.,Chứng khoán kinh doanh,8,3.346.354,3.647.897,,8.0,3346354.0,3647897.0
1.,3. > 1.,1.,Chứng khoán kinh doanh,,3.373.406,3.654.333,,,3373406.0,3654333.0
2.,3. > 2.,2.,Dự phòng rủi ro chứng khoán kinh doanh,,(27.052),(6.436),,,-27052.0,-6436.0
V.,3. > V.,V.,Cho vay khách hàng,,533.530.118,435.502.525,,,533530118.0,435502525.0
1.,3. > 1.,1.,Cho vay khách hàng,10,538.079.829,439.869.027,,10.0,538079829.0,439869027.0
2.,3. > 2.,2.,Dự phòng rủi ro cho vay khách hàng,11,(4.549.711),(4.366.502),,11.0,-4549711.0,-4366502.0
VI.,3. > VI.,VI.,Chứng khoán đầu tư,12,120.024.229,93.404.410,,12.0,120024229.0,93404410.0
1.,3. > 1.,1.,Chứng khoán đầu tư sẵn sàng để bán,,108.940.288,87.338.962,,,108940288.0,87338962.0
2.,3. > 2.,2.,Chứng khoán đầu tư giữ đến ngày đáo hạn,,12.928.649,6.708.858,,,12928649.0,6708858.0
3.,3. > 3.,3.,Dự phòng rủi ro chứng khoán đầu tư,13,(1.844.708),(643.410),,13.0,-1844708.0,-643410.0
VII.,3. > VII.,VII.,"Góp vốn, đầu tư dài hạn",14,3.892.314,3.787.119,,14.0,3892314.0,3787119.0
1.,3. > 1.,1.,Vốn góp liên doanh,,2.782.845,2.843.745,,,2782845.0,2843745.0
2.,3. > 2.,2.,Đầu tư dài hạn khác,,1.131.164,1.030.326,,,1131164.0,1030326.0
3.,3. > 3.,3.,Dự phòng giảm giá đầu tư dài hạn,,(21.695),(86.952),,,-21695.0,-86952.0
VIII.,3. > VIII.,VIII.,Tài sản cố định,,8.665.767,8.894.803,,,8665767.0,8894803.0
1.,3. > 1.,1.,Tài sản cố định hữu hình,15,4.374.977,4.661.988,,15.0,4374977.0,4661988.0
a.,3. > a.,a.,Nguyên giá TSCĐ,,9.746.338,9.313.732,,,9746338.0,9313732.0
b.,3. > b.,b.,Hao mòn TSCĐ,,(5.371.361),(4.651.744),,,-5371361.0,-4651744.0
2,3. > 2,2,Tài sản cố định vô hình,16,4.290.790,4.232.815,,16.0,4290790.0,4232815.0
a.,3. > a.,a.,Nguyên giá TSCĐ,,5.090.892,4.874.631,,,5090892.0,4874631.0
b.,3. > b.,b.,Hao mòn TSCĐ,,(800.102),(641.816),,,-800102.0,-641816.0
IX.,3. > IX.,IX.,Tài sản Có khác,,27.022.179,26.064.158,,,27022179.0,26064158.0
1.,3. > 1.,1.,Các khoản phải thu,17,10.799.595,9.981.237,,17.0,10799595.0,9981237.0
2.,3. > 2.,2.,"Các khoản lãi, phí phải thu",,12.863.853,12.706.353,,,12863853.0,12706353.0
3.,3. > 3.,3.,Tài sản Có khác,18,3.360.668,3.379.281,,18.0,3360668.0,3379281.0
,,,- Trong đó: Lợi thế thương mại,19,6.352,8.167,,19.0,6352.0,8167.0
4.,3. > 4.,4.,Dự phòng rủi ro cho các tài sản Có nội bảng khác,,(1.937),(2.713),,,-1937.0,-2713.0
TỔNG TÀI SẢN CÓ,3. > TỔNG TÀI SẢN CÓ,TỔNG TÀI SẢN CÓ,TỔNG TÀI SẢN CÓ,TỔNG TÀI SẢN CÓ,779.483.487,661.241.727,,,779483487.0,661241727.0
