row_label_raw,row_label_full,STT CHỈ TIÊU,STT CHỈ TIÊU_1,Thuyết minh,2015,2014 Trình bày lại,numeric__STT CHỈ TIÊU_1,numeric__Thuyết minh,numeric__2015,numeric__2014 Trình bày lại
1.,1.,1.,Thu nhập lãi và các khoản thu nhập tương tự,28,42.471.731,41.357.011,,28.0,42471731.0,41357011.0
2.,2.,2.,Chi phí lãi và các chi phí tương tự,29,(23.632.746),(23.494.895),,29.0,-23632746.0,-23494895.0
I.,I.,I.,Thu nhập lãi thuần,,18.838.985,17.862.116,,,18838985.0,17862116.0
3.,3.,3.,Thu nhập từ hoạt động dịch vụ,,2.650.863,2.117.486,,,2650863.0,2117486.0
4.,4.,4.,Chi phí hoạt động dịch vụ,,(1.190.961),(938.625),,,-1190961.0,-938625.0
II.,II.,II.,Lãi thuần từ hoạt động dịch vụ,30,1.459.902,1.178.861,,30.0,1459902.0,1178861.0
III.,III.,III.,Lãi thuần từ hoạt động kinh doanh ngoại hối,31,19.767,386.608,,31.0,19767.0,386608.0
IV.,IV.,IV.,Lãi thuần từ mua bán chứng khoán kinh doanh,32,129.177,192.423,,32.0,129177.0,192423.0
V.,V.,V.,Lãi/(lỗ) thuần từ mua bán chứng khoán đầu tư,33,52.807,(153.675),,33.0,52807.0,-153675.0
5.,5.,5.,Thu nhập từ hoạt động khác,,4.108.124,3.744.115,,,4108124.0,3744115.0
6.,6.,6.,Chi phí hoạt động khác,,(1.905.838),(2.346.199),,,-1905838.0,-2346199.0
VI.,VI.,VI.,Lãi thuần từ hoạt động khác,34,2.202.286,1.397.916,,34.0,2202286.0,1397916.0
VII.,VII.,VII.,"Thu nhập từ góp vốn, mua cổ phần",35,40.960,166.384,,35.0,40960.0,166384.0
VIII.,VIII.,VIII.,Chi phí hoạt động,36,(10.719.457),(9.804.496),,36.0,-10719457.0,-9804496.0
IX.,IX.,IX.,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,,12.024.427,11.226.137,,,12024427.0,11226137.0
X.,X.,X.,Chi phí dự phòng rủi ro tín dụng,,(4.678.986),(3.922.676),,,-4678986.0,-3922676.0
XI.,XI.,XI.,Tổng lợi nhuận trước thuế,,7.345.441,7.303.461,,,7345441.0,7303461.0
