row_label_raw,row_label_full,col_0,Vốn điều lệ,Thặng dư vốn cổ phần,Chênh lệch tỷ giá hối đoái,Quỹ đầu tư phát triển,Quỹ dự phòng tài chính,Quỹ dự trữ bổ sung vốn điều lệ,Lợi nhuận sau thuế chưa phân phối,Lợi ích của cổ đông không kiểm soát,Tổng cộng,numeric__Vốn điều lệ,numeric__Thặng dư vốn cổ phần,numeric__Chênh lệch tỷ giá hối đoái,numeric__Quỹ đầu tư phát triển,numeric__Quỹ dự phòng tài chính,numeric__Quỹ dự trữ bổ sung vốn điều lệ,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Lợi ích của cổ đông không kiểm soát,numeric__Tổng cộng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,,
Tại ngày 01/01/2015(Trình bày lại),Tại ngày 01/01/2015(Trình bày lại),Tại ngày 01/01/2015(Trình bày lại),37.234.046,8.974.770,338.463,-,2.888.215,1.457.551,4.140.788,225.271,55.259.104,37234046.0,8974770.0,338463.0,,2888215.0,1457551.0,4140788.0,225271.0,55259104.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,-,-,5.697.921,18.957,5.716.878,,,,,,,5697921.0,18957.0,5716878.0
Chia cổ tức năm 2014,Chia cổ tức năm 2014,Chia cổ tức năm 2014,-,-,-,-,-,-,(3.723.405),-,(3.723.405),,,,,,,-3723405.0,,-3723405.0
Tăng vốn bằng cổ phiếu của công ty con trong năm,Tăng vốn bằng cổ phiếu của công ty con trong năm,Tăng vốn bằng cổ phiếu của công ty con trong năm,-,-,-,-,-,35.811,(35.811),-,-,,,,,,35811.0,-35811.0,,
Tăng do chuyển đổi báo cáo tài chính cho mục đích hợp nhất,Tăng do chuyển đổi báo cáo tài chính cho mục đích hợp nhất,Tăng do chuyển đổi báo cáo tài chính cho mục đích hợp nhất,-,-,103.074,-,333,-,-,-,103.407,,,103074.0,,333.0,,,,103407.0
Trích quỹ trong năm,Trích quỹ trong năm,Trích quỹ trong năm,-,-,-,695,594.063,298.520,(2.098.573),(1.709),(1.207.004),,,,695.0,594063.0,298520.0,-2098573.0,-1709.0,-1207004.0
Phân loại lại giữa các quỹ,Phân loại lại giữa các quỹ,Phân loại lại giữa các quỹ,-,-,-,3.729,(3.729),-,-,-,-,,,,3729.0,-3729.0,,,,
Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,-,-,-,-,(348),-,-,-,(348),,,,,-348.0,,,,-348.0
Khác,Khác,Khác,-,(38),-,-,192,-,(38.547),(93),(38.486),,-38.0,,,192.0,,-38547.0,-93.0,-38486.0
Tại ngày 31/12/2015,Tại ngày 31/12/2015,Tại ngày 31/12/2015,37.234.046,8.974.732,441.537,4.424,3.478.726,1.791.882,3.942.373,242.426,56.110.146,37234046.0,8974732.0,441537.0,4424.0,3478726.0,1791882.0,3942373.0,242426.0,56110146.0
