row_label_raw,row_label_full,31/12/2015,Không chịu lãi > Triệu VND,Quá hạn > Trên 3 tháng > Triệu VND,Quá hạn > Đến 3 tháng > Triệu VND,Quá hạn > Đến 01 tháng > Triệu VND,Trong hạn > Từ 01-03 tháng > Triệu VND,Trong hạn > Từ 03-06 tháng > Triệu VND,Trong hạn > Từ 06 -12 tháng > Triệu VND,Trong hạn > Từ 01-05 năm > Triệu VND,Trong hạn > Trên 05 năm > Triệu VND,Tổng > Triệu VND,numeric__Không chịu lãi > Triệu VND,numeric__Quá hạn > Trên 3 tháng > Triệu VND,numeric__Quá hạn > Đến 3 tháng > Triệu VND,numeric__Quá hạn > Đến 01 tháng > Triệu VND,numeric__Trong hạn > Từ 01-03 tháng > Triệu VND,numeric__Trong hạn > Từ 03-06 tháng > Triệu VND,numeric__Trong hạn > Từ 06 -12 tháng > Triệu VND,numeric__Trong hạn > Từ 01-05 năm > Triệu VND,numeric__Trong hạn > Trên 05 năm > Triệu VND,numeric__Tổng > Triệu VND
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",5.090.768,-,-,-,-,-,-,-,-,5.090.768,5090768.0,,,,,,,,,5090768.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,-,11.892.969,-,-,-,-,-,11.892.969,,,,11892969.0,,,,,,11892969.0
Tiền gửi và cho vay các TCTD khác (*),Tài sản > Tiền gửi và cho vay các TCTD khác (*),Tiền gửi và cho vay các TCTD khác (*),-,-,-,55.269.789,10.361.900,-,387.100,-,-,66.018.789,,,,55269789.0,10361900.0,,387100.0,,,66018789.0
Chứng khoán kinh doanh (*),Tài sản > Chứng khoán kinh doanh (*),Chứng khoán kinh doanh (*),-,-,-,3.373.406,-,-,-,-,-,3.373.406,,,,3373406.0,,,,,,3373406.0
Cho vay khách hàng (*),Tài sản > Cho vay khách hàng (*),Cho vay khách hàng (*),-,4.942.240,3.211.051,368.192.959,109.164.867,47.693.388,2.490.655,2.384.669,-,538.079.829,,4942240.0,3211051.0,368192959.0,109164867.0,47693388.0,2490655.0,2384669.0,,538079829.0
Chứng khoán đầu tư (*),Tài sản > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),274.036,-,-,14.019.409,26.367.833,3.919.611,25.807.374,38.247.323,13.233.351,121.868.937,274036.0,,,14019409.0,26367833.0,3919611.0,25807374.0,38247323.0,13233351.0,121868937.0
"Góp vốn, đầu tư dài hạn (*)","Tài sản > Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)",3.914.009,-,-,-,-,-,-,-,-,3.914.009,3914009.0,,,,,,,,,3914009.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,8.665.767,-,-,-,-,-,-,-,-,8.665.767,8665767.0,,,,,,,,,8665767.0
Tài sản Có khác (*),Tài sản > Tài sản Có khác (*),Tài sản Có khác (*),27.024.116,-,-,-,-,-,-,-,-,27.024.116,27024116.0,,,,,,,,,27024116.0
