row_label_raw,row_label_full,Loại giấy tờ có giá,Kỳ phiếu,Trái phiếu vô danh,Trái phiếu ghi số,Chứng chỉ tiền gửi,Tổng cộng,numeric__Kỳ phiếu,numeric__Trái phiếu vô danh,numeric__Trái phiếu ghi số,numeric__Chứng chỉ tiền gửi,numeric__Tổng cộng
Loại giấy tờ có giá,Loại giấy tờ có giá,Loại giấy tờ có giá,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,
Tại ngày 31/12/2015,Tại ngày 31/12/2015,Tại ngày 31/12/2015,,,,,,,,,,
Dưới 12 tháng,Dưới 12 tháng,Dưới 12 tháng,,,,,,,,,,
Mệnh giá,Dưới 12 tháng > Mệnh giá,Mệnh giá,476,-,-,5.778.457,5.778.933,476.0,,,5778457.0,5778933.0
Từ 12 tháng đến dưới 5 năm,Từ 12 tháng đến dưới 5 năm,Từ 12 tháng đến dưới 5 năm,,,,,,,,,,
Mệnh giá,Từ 12 tháng đến dưới 5 năm > Mệnh giá,Mệnh giá,-,5.472.670,-,1.624.082,7.096.752,,5472670.0,,1624082.0,7096752.0
Chiết khấu,Từ 12 tháng đến dưới 5 năm > Chiết khấu,Chiết khấu,-,(15.188),-,-,(15.188),,-15188.0,,,-15188.0
Từ 5 năm trở lên,Từ 5 năm trở lên,Từ 5 năm trở lên,,,,,,,,,,
Mệnh giá,Từ 5 năm trở lên > Mệnh giá,Mệnh giá,-,-,8.000.000,-,8.000.000,,,8000000.0,,8000000.0
,,,476,5.457.482,8.000.000,7.402.539,20.860.497,476.0,5457482.0,8000000.0,7402539.0,20860497.0
Tại ngày 31/12/2014,Tại ngày 31/12/2014,Tại ngày 31/12/2014,,,,,,,,,,
Dưới 12 tháng,Dưới 12 tháng,Dưới 12 tháng,,,,,,,,,,
Mệnh giá,Dưới 12 tháng > Mệnh giá,Mệnh giá,644,-,-,982,1.626,644.0,,,982.0,1626.0
Từ 12 tháng đến dưới 5 năm,Từ 12 tháng đến dưới 5 năm,Từ 12 tháng đến dưới 5 năm,,,,,,,,,,
Mệnh giá,Từ 12 tháng đến dưới 5 năm > Mệnh giá,Mệnh giá,-,5.311.670,-,6.235,5.317.905,,5311670.0,,6235.0,5317905.0
Chiết khấu,Từ 12 tháng đến dưới 5 năm > Chiết khấu,Chiết khấu,-,(25.458),-,-,(25.458),,-25458.0,,,-25458.0
,,,644,5.286.212,-,7.217,5.294.073,644.0,5286212.0,,7217.0,5294073.0
