row_label_raw,row_label_full,Khoản mục trên Băng cân đối kế toán hợp nhất,Số đã báo cáo trên báo cáo tài chính hợp nhất cho năm tài chính kết thúc ngày 31/12/2014 > Triệu VND,Điều chỉnh > Triệu VND,Trình bày lại trên báo cáo tài chính hợp nhất cho năm tài chính kết thúc ngày 31/12/2015 > Triệu VND,numeric__Số đã báo cáo trên báo cáo tài chính hợp nhất cho năm tài chính kết thúc ngày 31/12/2014 > Triệu VND,numeric__Điều chỉnh > Triệu VND,numeric__Trình bày lại trên báo cáo tài chính hợp nhất cho năm tài chính kết thúc ngày 31/12/2015 > Triệu VND
Dự phòng rủi ro cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,(4.345.948),(20.554),(4.366.502),-4345948.0,-20554.0,-4366502.0
Dự phòng giảm giá đầu tư dài hạn,Dự phòng giảm giá đầu tư dài hạn,Dự phòng giảm giá đầu tư dài hạn,(89.164),2.212,(86.952),-89164.0,2212.0,-86952.0
Hao mòn TSCĐ hữu hình,Hao mòn TSCĐ hữu hình,Hao mòn TSCĐ hữu hình,(4.652.102),358,(4.651.744),-4652102.0,358.0,-4651744.0
Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,4.851.812,22.819,4.874.631,4851812.0,22819.0,4874631.0
Hao mòn TSCĐ vô hình,Hao mòn TSCĐ vô hình,Hao mòn TSCĐ vô hình,(641.277),(539),(641.816),-641277.0,-539.0,-641816.0
Các khoản phải thu,Các khoản phải thu,Các khoản phải thu,9.877.588,103.649,9.981.237,9877588.0,103649.0,9981237.0
"Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu",12.706.283,70,12.706.353,12706283.0,70.0,12706353.0
Tài sản Có khác,Tài sản Có khác,Tài sản Có khác,3.376.800,2.481,3.379.281,3376800.0,2481.0,3379281.0
Dự phòng rủi ro cho các tài sản Có nội bằng khác,Dự phòng rủi ro cho các tài sản Có nội bằng khác,Dự phòng rủi ro cho các tài sản Có nội bằng khác,(2.355),(358),(2.713),-2355.0,-358.0,-2713.0
"Các khoản lãi, phí phải trả","Các khoản lãi, phí phải trả","Các khoản lãi, phí phải trả",5.749.315,2.953,5.752.268,5749315.0,2953.0,5752268.0
Các khoản phải trả và công nợ,Các khoản phải trả và công nợ,Các khoản phải trả và công nợ,29.662.391,86.240,29.748.631,29662391.0,86240.0,29748631.0
Dự phòng rủi ro khác,Dự phòng rủi ro khác,Dự phòng rủi ro khác,67.719,19,67.738,67719.0,19.0,67738.0
Quỹ của TCTD,Quỹ của TCTD,Quỹ của TCTD,4.250.372,95.394,4.345.766,4250372.0,95394.0,4345766.0
Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,4.215.157,(74.369),4.140.788,4215157.0,-74369.0,4140788.0
Lợi ích của cổ đông thiểu số,Lợi ích của cổ đông thiểu số,Lợi ích của cổ đông thiểu số,225.370,(99),225.271,225370.0,-99.0,225271.0
