row_label_raw,row_label_full,Bên liên quan,Quan hệ,Các giao dịch,Năm 2015,numeric__Quan hệ,numeric__Các giao dịch,numeric__Năm 2015
,,,,,Triệu VND,,,
Ngân hàng Nhà nước Việt Nam,Ngân hàng Nhà nước Việt Nam,Ngân hàng Nhà nước Việt Nam,Sở hữu và quản lý trực tiếp,Tăng tiền gửi tại NHNN,2.016.518,,,2016518.0
Ngân hàng Nhà nước Việt Nam,Ngân hàng Nhà nước Việt Nam,Ngân hàng Nhà nước Việt Nam,Sở hữu và quản lý trực tiếp,Tăng tiền vay NHNN,8.474.235,,,8474235.0
Ngân hàng TNHH Indovina,Ngân hàng TNHH Indovina,Ngân hàng TNHH Indovina,Công ty liên doanh,Giảm tiền gửi của bên liên quan,(455.749),,,-455749.0
Công ty TNHH Bảo hiểm Nhân thọ Vietinbank Aviva,Công ty TNHH Bảo hiểm Nhân thọ Vietinbank Aviva,Công ty TNHH Bảo hiểm Nhân thọ Vietinbank Aviva,Công ty liên doanh,Tăng tiền gửi của bên liên quan,73.888,,,73888.0
