row_label_raw,row_label_full,STT CHỈ TIÊU,STT CHỈ TIÊU_1,Dịch vụ tài chính ngân hàng > Triệu VND,Dịch vụ tài chính phi ngân hàng > Triệu VND,Khác > Triệu VND,Điều chỉnh > Triệu VND,Tổng cộng > Triệu VND,numeric__STT CHỈ TIÊU_1,numeric__Dịch vụ tài chính ngân hàng > Triệu VND,numeric__Dịch vụ tài chính phi ngân hàng > Triệu VND,numeric__Khác > Triệu VND,numeric__Điều chỉnh > Triệu VND,numeric__Tổng cộng > Triệu VND
I.,I.,I.,Doanh thu,50.935.212,972.353,981.747,(186.403),52.702.909,,50935212.0,972353.0,981747.0,-186403.0,52702909.0
1.,1.,1.,Doanh thu lãi,42.148.284,294.210,82.168,(52.931),42.471.731,,42148284.0,294210.0,82168.0,-52931.0,42471731.0
,,,- Doanh thu lãi từ khách hàng bên ngoài,42.128.661,280.835,62.235,-,42.471.731,,42128661.0,280835.0,62235.0,,42471731.0
,,,- Doanh thu lãi từ khách hàng nội bộ,19.623,13.375,19.933,(52.931),-,,19623.0,13375.0,19933.0,-52931.0,
2.,2.,2.,Thu nhập từ hoạt động dịch vụ,2.074.209,608.616,101.501,(133.463),2.650.863,,2074209.0,608616.0,101501.0,-133463.0,2650863.0
3.,3.,3.,Thu nhập từ hoạt động kinh doanh khác,6.712.719,69.527,798.078,(9),7.580.315,,6712719.0,69527.0,798078.0,-9.0,7580315.0
II.,II.,II.,Chi phí,(39.267.036),(721.463),(876.386),186.403,(40.678.482),,-39267036.0,-721463.0,-876386.0,186403.0,-40678482.0
1.,1.,1.,Chi phí lãi,(23.660.925),(24.547),(205),52.931,(23.632.746),,-23660925.0,-24547.0,-205.0,52931.0,-23632746.0
,,,- Chi phí lãi từ khách hàng bên ngoài,(23.628.866),(3.675),(205),-,(23.632.746),,-23628866.0,-3675.0,-205.0,,-23632746.0
,,,- Chi phí lãi từ khách hàng nội bộ,(32.059),(20.872),-,52.931,-,,-32059.0,-20872.0,,52931.0,
2.,2.,2.,Chi phí khấu hao TSCĐ,(916.489),(5.809),(4.953),-,(927.251),,-916489.0,-5809.0,-4953.0,,-927251.0
3.,3.,3.,Chi phí liên quan trực tiếp đến hoạt động kinh doanh,(14.689.622),(691.107),(871.228),133.472,(16.118.485),,-14689622.0,-691107.0,-871228.0,133472.0,-16118485.0
Kết quả kinh doanh trước chi phí dự phòng rủi ro,Kết quả kinh doanh trước chi phí dự phòng rủi ro,Kết quả kinh doanh trước chi phí dự phòng rủi ro,Kết quả kinh doanh trước chi phí dự phòng rủi ro,11.668.176,250.890,105.361,-,12.024.427,,11668176.0,250890.0,105361.0,,12024427.0
Chi phí dự phòng rủi ro,Chi phí dự phòng rủi ro,Chi phí dự phòng rủi ro,Chi phí dự phòng rủi ro,(4.660.246),(18.438),(302),-,(4.678.986),,-4660246.0,-18438.0,-302.0,,-4678986.0
Kết quả kinh doanh bộ phận trước thuế,Kết quả kinh doanh bộ phận trước thuế,Kết quả kinh doanh bộ phận trước thuế,Kết quả kinh doanh bộ phận trước thuế,7.007.930,232.452,105.059,-,7.345.441,,7007930.0,232452.0,105059.0,,7345441.0
Chi phí thuế TNDN,Chi phí thuế TNDN,Chi phí thuế TNDN,Chi phí thuế TNDN,(1.558.094),(50.183),(20.286),-,(1.628.563),,-1558094.0,-50183.0,-20286.0,,-1628563.0
Kết quả kinh doanh bộ phận sau thuế,Kết quả kinh doanh bộ phận sau thuế,Kết quả kinh doanh bộ phận sau thuế,Kết quả kinh doanh bộ phận sau thuế,5.449.836,182.269,84.773,-,5.716.878,,5449836.0,182269.0,84773.0,,5716878.0
III.,III.,III.,Tài sản,781.603.409,4.026.167,1.652.857,(7.798.946),779.483.487,,781603409.0,4026167.0,1652857.0,-7798946.0,779483487.0
1.,1.,1.,Tiền mặt,5.039.404,4.406,46.958,-,5.090.768,,5039404.0,4406.0,46958.0,,5090768.0
2.,2.,2.,Tài sản cố định,8.521.950,97.551,46.266,-,8.665.767,,8521950.0,97551.0,46266.0,,8665767.0
3.,3.,3.,Tài sản khác,768.042.055,3.924.210,1.559.633,(7.798.946),765.726.952,,768042055.0,3924210.0,1559633.0,-7798946.0,765726952.0
IV.,IV.,IV.,Nợ phải trả,725.437.856,1.326.566,348.174,(3.739.255),723.373.341,,725437856.0,1326566.0,348174.0,-3739255.0,723373341.0
1.,1.,1.,Nợ phải trả bên ngoài,722.510.828,998.550,329.039,(3.739.255),720.099.162,,722510828.0,998550.0,329039.0,-3739255.0,720099162.0
2.,2.,2.,Nợ phải trả nội bộ,2.927.028,328.016,19.135,-,3.274.179,,2927028.0,328016.0,19135.0,,3274179.0
