row_label_raw,row_label_full,STT,CHỈ TIÊU,Thuyết minh,31/12/2015,31/12/2014 Trình bày lại,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__31/12/2015,numeric__31/12/2014 Trình bày lại
B.,B.,B.,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,,,
I.,B. > I.,I.,Các khoản nợ Chính phủ và NHNN,20,13.227.115,4.731.403,,20.0,13227115.0,4731403.0
II.,B. > II.,II.,Tiền gửi và vay các TCTD khác,21,99.169.216,103.769.865,,21.0,99169216.0,103769865.0
1.,B. > 1.,1.,Tiền gửi của các TCTD khác,,43.399.347,42.040.236,,,43399347.0,42040236.0
2.,B. > 2.,2.,Vay các TCTD khác,,55.769.869,61.729.629,,,55769869.0,61729629.0
III.,B. > III.,III.,Tiền gửi của khách hàng,22,492.960.064,424.181.174,,22.0,492960064.0,424181174.0
IV.,B. > IV.,IV.,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,9,117.619,415.778,,9.0,117619.0,415778.0
V.,B. > V.,V.,"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",23,54.237.247,32.021.693,,23.0,54237247.0,32021693.0
VI.,B. > VI.,VI.,Phát hành giấy tờ có giá,24,20.860.497,5.294.073,,24.0,20860497.0,5294073.0
VII.,B. > VII.,VII.,Các khoản nợ khác,,42.801.583,35.568.637,,,42801583.0,35568637.0
1.,B. > 1.,1.,"Các khoản lãi, phí phải trả",,5.971.380,5.752.268,,,5971380.0,5752268.0
2.,B. > 2.,2.,Các khoản phải trả và công nợ khác,25,36.711.027,29.748.631,,25.0,36711027.0,29748631.0
3.,B. > 3.,3.,Dự phòng rủi ro khác,25,119.176,67.738,,25.0,119176.0,67738.0
,,,TỔNG NỘ PHẢI TRẢ,,723.373.341,605.982.623,,,723373341.0,605982623.0
VIII.,B. > VIII.,VIII.,Vốn và các quỹ,27,56.110.146,55.259.104,,27.0,56110146.0,55259104.0
1.,B. > 1.,1.,Vốn của TCTD,,46.208.778,46.208.816,,,46208778.0,46208816.0
a.,B. > a.,a.,Vốn điều lệ,,37.234.046,37.234.046,,,37234046.0,37234046.0
b.,B. > b.,b.,Thặng dư vốn cổ phần,,8.974.732,8.974.770,,,8974732.0,8974770.0
2.,B. > 2.,2.,Quỹ của TCTD,,5.275.032,4.345.766,,,5275032.0,4345766.0
3.,B. > 3.,3.,Chênh lệch tỷ giá hối đoái,,441.537,338.463,,,441537.0,338463.0
4.,B. > 4.,4.,Lợi nhuận sau thuế chưa phân phối,,3.942.373,4.140.788,,,3942373.0,4140788.0
5.,B. > 5.,5.,Lợi ích của cổ đông không kiểm soát,27,242.426,225.271,,27.0,242426.0,225271.0
TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,B. > TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,779.483.487,661.241.727,,,779483487.0,661241727.0
