row_label_raw,row_label_full,col_0,Tổng dư nợ cho vay,Tổng tiền gửi(tài sản),Tổng tiền gửi(công nợ),Các cam kết tín dụng,Công cụ tài chính phải sinh (Chênh lệch dư nợ -dur có),Kinh doanh và đầu tư chứng khoán(Chênh lệchdur nợ - dur có),numeric__Tổng dư nợ cho vay,numeric__Tổng tiền gửi(tài sản),numeric__Tổng tiền gửi(công nợ),numeric__Các cam kết tín dụng,numeric__Công cụ tài chính phải sinh (Chênh lệch dư nợ -dur có),numeric__Kinh doanh và đầu tư chứng khoán(Chênh lệchdur nợ - dur có)
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,
Trong nước,Trong nước,Trong nước,535.805.474,74.344.582,533.257.033,66.952.476,(117.619),125.242.343,535805474.0,74344582.0,533257033.0,66952476.0,-117619.0,125242343.0
Nước ngoài,Nước ngoài,Nước ngoài,3.907.769,1.933.762,3.124.140,83.027,-,-,3907769.0,1933762.0,3124140.0,83027.0,,
,,,539.713.243,76.278.344,536.381.173,67.035.503,(117.619),125.242.343,539713243.0,76278344.0,536381173.0,67035503.0,-117619.0,125242343.0
