row_label_raw,row_label_full,Ông Lê Đức Thọ,Tổng Giám đốc,numeric__Tổng Giám đốc
Ông Trần Minh Bình,Ông Trần Minh Bình,Ông Trần Minh Bình,Phó Tổng Giám đốc,
Ông Nguyễn Văn Du,Ông Nguyễn Văn Du,Ông Nguyễn Văn Du,Phó Tổng Giám đốc,
Bà Bùi Như Ý,Bà Bùi Như Ý,Bà Bùi Như Ý,Phó Tổng Giám đốc,
Ông Nguyễn Hoàng Dũng,Ông Nguyễn Hoàng Dũng,Ông Nguyễn Hoàng Dũng,Phó Tổng Giám đốc,
Ông Phạm Huy Thông,Ông Phạm Huy Thông,Ông Phạm Huy Thông,Phó Tổng Giám đốc (thôi giữ chức vụ từ ngày 07 tháng 7 năm 2015),
Ông Nguyễn Đức Thành,Ông Nguyễn Đức Thành,Ông Nguyễn Đức Thành,Phó Tổng Giám đốc,
Ông Hiroyuki Nagata,Ông Hiroyuki Nagata,Ông Hiroyuki Nagata,Phó Tổng Giám đốc,
Ông Trần Công Quỳnh Lân,Ông Trần Công Quỳnh Lân,Ông Trần Công Quỳnh Lân,Phó Tổng Giám đốc (bổ nhiệm từ ngày 05 tháng 3 năm 2015),
Ông Nguyễn Đình Vinh,Ông Nguyễn Đình Vinh,Ông Nguyễn Đình Vinh,Phó Tổng Giám đốc (bổ nhiệm từ ngày 31 tháng 7 năm 2015),
Ông Nguyễn Hải Hưng,Ông Nguyễn Hải Hưng,Ông Nguyễn Hải Hưng,Kế toán trường,
