row_label_raw,row_label_full,col_0,Giá trị ghi số(Không bao gồm dự phòng) > 31/12/2015,Giá trị ghi số(Không bao gồm dự phòng) > 31/12/2014(Trình bày lại),Giá trị hợp lý > 31/12/2015,Giá trị hợp lý > 31/12/2014(Trình bày lại),numeric__Giá trị ghi số(Không bao gồm dự phòng) > 31/12/2015,numeric__Giá trị ghi số(Không bao gồm dự phòng) > 31/12/2014(Trình bày lại),numeric__Giá trị hợp lý > 31/12/2015,numeric__Giá trị hợp lý > 31/12/2014(Trình bày lại)
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản tài chính > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",5.090.768,4.630.740,5.090.768,4.630.740,5090768.0,4630740.0,5090768.0,4630740.0
Tiền gửi tại Ngân hàng Nhà nước,Tài sản tài chính > Tiền gửi tại Ngân hàng Nhà nước,Tiền gửi tại Ngân hàng Nhà nước,11.892.969,9.876.451,11.892.969,9.876.451,11892969.0,9876451.0,11892969.0,9876451.0
Tiền gửi và cho vay các TCTD khác,Tài sản tài chính > Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,66.018.789,75.433.624,(*),(*),66018789.0,75433624.0,,
Chứng khoán kinh doanh - Chứng khoán vốn có giá thị trường tham chiếu,Tài sản tài chính > Chứng khoán kinh doanh - Chứng khoán vốn có giá thị trường tham chiếu,Chứng khoán kinh doanh - Chứng khoán vốn có giá thị trường tham chiếu,161.502,37.738,135.498,33.550,161502.0,37738.0,135498.0,33550.0
Chứng khoán kinh doanh - Chứng khoán vốn không có giá thị trường tham chiếu,Tài sản tài chính > Chứng khoán kinh doanh - Chứng khoán vốn không có giá thị trường tham chiếu,Chứng khoán kinh doanh - Chứng khoán vốn không có giá thị trường tham chiếu,11.830,21.285,(*),(*),11830.0,21285.0,,
Chứng khoán kinh doanh - Chứng khoán nợ,Tài sản tài chính > Chứng khoán kinh doanh - Chứng khoán nợ,Chứng khoán kinh doanh - Chứng khoán nợ,3.200.074,3.595.310,(*),(*),3200074.0,3595310.0,,
Cho vay khách hàng,Tài sản tài chính > Cho vay khách hàng,Cho vay khách hàng,538.079.829,439.869.027,(*),(*),538079829.0,439869027.0,,
Chứng khoán đầu tư - Chứng khoán vốn có giá thị trường tham chiếu,Tài sản tài chính > Chứng khoán đầu tư - Chứng khoán vốn có giá thị trường tham chiếu,Chứng khoán đầu tư - Chứng khoán vốn có giá thị trường tham chiếu,274.036,44.023,211.872,25.132,274036.0,44023.0,211872.0,25132.0
Chứng khoán đầu tư - Chứng khoán nợ,Tài sản tài chính > Chứng khoán đầu tư - Chứng khoán nợ,Chứng khoán đầu tư - Chứng khoán nợ,121.594.901,94.003.797,(*),(*),121594901.0,94003797.0,,
Đầu tư dài hạn khác,Tài sản tài chính > Đầu tư dài hạn khác,Đầu tư dài hạn khác,1.131.164,1.030.326,(*),(*),1131164.0,1030326.0,,
Các khoản phải thu,Tài sản tài chính > Các khoản phải thu,Các khoản phải thu,1.098.294,1.530.566,(*),(*),1098294.0,1530566.0,,
"Các khoản lãi, phí phải thu","Tài sản tài chính > Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu",12.863.853,12.706.353,(*),(*),12863853.0,12706353.0,,
Tài sản Có khác,Tài sản tài chính > Tài sản Có khác,Tài sản Có khác,1.320,1.210,(*),(*),1320.0,1210.0,,
,,,761.419.329,642.780.450,,,761419329.0,642780450.0,,
Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,,,,
Các khoản nợ Chính phủ và NHNN,Công nợ tài chính > Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,13.227.115,4.731.403,(*),(*),13227115.0,4731403.0,,
Tiền gửi và vay các TCTD khác,Công nợ tài chính > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,99.169.216,103.769.865,(*),(*),99169216.0,103769865.0,,
Tiền gửi của khách hàng,Công nợ tài chính > Tiền gửi của khách hàng,Tiền gửi của khách hàng,492.960.064,424.181.174,(*),(*),492960064.0,424181174.0,,
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Công nợ tài chính > Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,117.619,415.778,(*),(*),117619.0,415778.0,,
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Công nợ tài chính > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",54.237.247,32.021.693,(*),(*),54237247.0,32021693.0,,
Phát hành giấy tờ có giá,Công nợ tài chính > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,20.860.497,5.294.073,(*),(*),20860497.0,5294073.0,,
"Các khoản lãi, phí phải trả","Công nợ tài chính > Các khoản lãi, phí phải trả","Các khoản lãi, phí phải trả",5.971.380,5.752.268,(*),(*),5971380.0,5752268.0,,
Các khoản phải trả và công nợ khác,Công nợ tài chính > Các khoản phải trả và công nợ khác,Các khoản phải trả và công nợ khác,33.145.285,26.250.620,(*),(*),33145285.0,26250620.0,,
,,,719.688.423,602.416.874,,,719688423.0,602416874.0,,
