row_label_raw,row_label_full,col_0,Giá trị ghi số tại thời điểm lập báo cáo (Triệu VND) > 31/12/2015,Giá trị ghi số tại thời điểm lập báo cáo (Triệu VND) > 31/12/2014,numeric__Giá trị ghi số tại thời điểm lập báo cáo (Triệu VND) > 31/12/2015,numeric__Giá trị ghi số tại thời điểm lập báo cáo (Triệu VND) > 31/12/2014
Bất động sản,Bất động sản,Bất động sản,573.334.087,479.034.313,573334087.0,479034313.0
Động sản,Động sản,Động sản,40.871.174,29.518.139,40871174.0,29518139.0
Chứng từ có giá,Chứng từ có giá,Chứng từ có giá,109.954.562,64.205.314,109954562.0,64205314.0
Tài sản khác,Tài sản khác,Tài sản khác,345.878.561,266.837.457,345878561.0,266837457.0
,,,1.070.038.384,839.595.223,1070038384.0,839595223.0
