row_label_raw,row_label_full,col_0,2015,Trình bày lại,numeric__2015,numeric__Trình bày lại
,,,Triệu VND,Triệu VND,,
Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,2.650.863,2.117.486,2650863.0,2117486.0
- Thu từ dịch vụ thanh toán,- Thu từ dịch vụ thanh toán,- Thu từ dịch vụ thanh toán,1.303.888,1.140.287,1303888.0,1140287.0
- Thu từ nghiệp vụ ủy thác và đại lý,- Thu từ nghiệp vụ ủy thác và đại lý,- Thu từ nghiệp vụ ủy thác và đại lý,52.142,23.445,52142.0,23445.0
- Thu khác,- Thu khác,- Thu khác,1.294.833,953.754,1294833.0,953754.0
Chi phí từ hoạt động dịch vụ,Chi phí từ hoạt động dịch vụ,Chi phí từ hoạt động dịch vụ,1.190.961,938.625,1190961.0,938625.0
- Chi về dịch vụ thanh toán,- Chi về dịch vụ thanh toán,- Chi về dịch vụ thanh toán,117.673,105.891,117673.0,105891.0
- Chi về nghiệp vụ ủy thác và đại lý,- Chi về nghiệp vụ ủy thác và đại lý,- Chi về nghiệp vụ ủy thác và đại lý,5.720,159.134,5720.0,159134.0
- Chi về dịch vụ ngân quỹ,- Chi về dịch vụ ngân quỹ,- Chi về dịch vụ ngân quỹ,171.439,2.779,171439.0,2779.0
- Chi phí khác,- Chi phí khác,- Chi phí khác,896.129,670.821,896129.0,670821.0
Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,1.459.902,1.178.861,1459902.0,1178861.0
