row_label_raw,row_label_full,col_0,Tài sản tài chính,Tài sản tài chính_1,Tài sản tài chính_2,Tài sản tài chính_3,Tài sản tài chính_4,numeric__Tài sản tài chính,numeric__Tài sản tài chính_1,numeric__Tài sản tài chính_2,numeric__Tài sản tài chính_3,numeric__Tài sản tài chính_4
,,,Kinh doanh,Giữ đến ngàyđáo hạn,Cho vay và các khoản phải thu,Sẵn sàngđể bán,Tổng cộng,,,,,
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,
"Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",5.090.768,-,-,-,5.090.768,5090768.0,,,,5090768.0
Tiền gửi tại NHNN,Tiền gửi tại NHNN,Tiền gửi tại NHNN,11.892.969,-,-,-,11.892.969,11892969.0,,,,11892969.0
Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,-,-,66.018.789,-,66.018.789,,,66018789.0,,66018789.0
Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,3.373.406,-,-,-,3.373.406,3373406.0,,,,3373406.0
Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,-,-,538.079.829,-,538.079.829,,,538079829.0,,538079829.0
Chứng khoán đầu tư,Chứng khoán đầu tư,Chứng khoán đầu tư,-,12.928.649,-,108.940.288,121.868.937,,12928649.0,,108940288.0,121868937.0
Đầu tư dài hạn khác,Đầu tư dài hạn khác,Đầu tư dài hạn khác,-,-,-,1.131.164,1.131.164,,,,1131164.0,1131164.0
Các khoản phải thu,Các khoản phải thu,Các khoản phải thu,-,-,1.098.294,-,1.098.294,,,1098294.0,,1098294.0
"Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu",-,-,12.863.853,-,12.863.853,,,12863853.0,,12863853.0
Tài sản Có khác,Tài sản Có khác,Tài sản Có khác,-,-,1.320,-,1.320,,,1320.0,,1320.0
,,,20.357.143,12.928.649,618.062.085,110.071.452,761.419.329,20357143.0,12928649.0,618062085.0,110071452.0,761419329.0
