row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Phươngtiện vận tải,TSCĐ khác,Tổng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị",numeric__Phươngtiện vận tải,numeric__TSCĐ khác,numeric__Tổng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Tại ngày 01/01/2015(Trình bày lại),Nguyên giá > Tại ngày 01/01/2015(Trình bày lại),Tại ngày 01/01/2015(Trình bày lại),4.173.165,4.072.663,877.566,190.338,9.313.732,4173165.0,4072663.0,877566.0,190338.0,9313732.0
Mua sắm trong năm,Nguyên giá > Mua sắm trong năm,Mua sắm trong năm,110.187,141.871,120.814,11.068,383.940,110187.0,141871.0,120814.0,11068.0,383940.0
Đầu tư XDCB hoàn thành,Nguyên giá > Đầu tư XDCB hoàn thành,Đầu tư XDCB hoàn thành,110.644,4.931,2.691,762,119.028,110644.0,4931.0,2691.0,762.0,119028.0
Tăng khác,Nguyên giá > Tăng khác,Tăng khác,6.298,1.775,3.261,8.263,19.597,6298.0,1775.0,3261.0,8263.0,19597.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(38.847),(19.417),(14.914),(2.150),(75.328),-38847.0,-19417.0,-14914.0,-2150.0,-75328.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,(1.658),44.601,8.902,(53.503),(1.658),-1658.0,44601.0,8902.0,-53503.0,-1658.0
Giảm khác,Nguyên giá > Giảm khác,Giảm khác,(8.756),(2.989),(590),(638),(12.973),-8756.0,-2989.0,-590.0,-638.0,-12973.0
Tại ngày 31/12/2015,Nguyên giá > Tại ngày 31/12/2015,Tại ngày 31/12/2015,4.351.033,4.243.435,997.730,154.140,9.746.338,4351033.0,4243435.0,997730.0,154140.0,9746338.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Tại ngày 01/01/2015(Trình bày lại),Giá trị hao mòn lũy kế > Tại ngày 01/01/2015(Trình bày lại),Tại ngày 01/01/2015(Trình bày lại),964.282,2.991.802,577.277,118.383,4.651.744,964282.0,2991802.0,577277.0,118383.0,4651744.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,217.695,423.889,102.202,22.127,765.913,217695.0,423889.0,102202.0,22127.0,765913.0
Tăng khác,Giá trị hao mòn lũy kế > Tăng khác,Tăng khác,755,349,478,69,1.651,755.0,349.0,478.0,69.0,1651.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(3.877),(15.998),(14.212),(2.150),(36.237),-3877.0,-15998.0,-14212.0,-2150.0,-36237.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,(350),27.880,5.068,(32.948),(350),-350.0,27880.0,5068.0,-32948.0,-350.0
Giảm khác,Giá trị hao mòn lũy kế > Giảm khác,Giảm khác,(8.010),(2.419),(404),(527),(11.360),-8010.0,-2419.0,-404.0,-527.0,-11360.0
Tại ngày 31/12/2015,Giá trị hao mòn lũy kế > Tại ngày 31/12/2015,Tại ngày 31/12/2015,1.170.495,3.425.503,670.409,104.954,5.371.361,1170495.0,3425503.0,670409.0,104954.0,5371361.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày 31/12/2015,Giá trị còn lại > Tại ngày 31/12/2015,Tại ngày 31/12/2015,3.180.538,817.932,327.321,49.186,4.374.977,3180538.0,817932.0,327321.0,49186.0,4374977.0
Tại ngày 31/12/2014,Giá trị còn lại > Tại ngày 31/12/2014,Tại ngày 31/12/2014,3.208.883,1.080.861,300.289,71.955,4.661.988,3208883.0,1080861.0,300289.0,71955.0,4661988.0
