row_label_raw,row_label_full,Các chỉ tiêu ngoài bằng cân đối kế toán hợp nhất,Số đã công bố trên Báo cáo tài chính hợp nhất cho năm tài chính kết thúc ngày 31/12/2014,Trình bày bổ sung trên báo cáo tài chính hợp nhất cho năm tài chính kết thúc ngày 31/12/2015 > Triệu VND,Nguyên nhân,numeric__Số đã công bố trên Báo cáo tài chính hợp nhất cho năm tài chính kết thúc ngày 31/12/2014,numeric__Trình bày bổ sung trên báo cáo tài chính hợp nhất cho năm tài chính kết thúc ngày 31/12/2015 > Triệu VND,numeric__Nguyên nhân
Cam kết giao dịch hối đoái,Cam kết giao dịch hối đoái,Cam kết giao dịch hối đoái,Không trình bày,62.361.790,Trình bày bổ sung theo Thông tư 49,,62361790.0,
Cam kết mua ngoại tệ,Cam kết mua ngoại tệ,Cam kết mua ngoại tệ,Không trình bày,1.274.173,Trình bày bổ sung theo Thông tư 49,,1274173.0,
Cam kết bán ngoại tệ,Cam kết bán ngoại tệ,Cam kết bán ngoại tệ,Không trình bày,1.274.379,Trình bày bổ sung theo Thông tư 49,,1274379.0,
Cam kết giao dịch hoán đối,Cam kết giao dịch hoán đối,Cam kết giao dịch hoán đối,Không trình bày,59.813.238,Trình bày bổ sung theo Thông tư 49,,59813238.0,
