row_label_raw,row_label_full,col_0,Quyềnsử dụng đất,"Nhà cửa,vật kiến trúc",VNDTổng cộng,numeric__Quyềnsử dụng đất,"numeric__Nhà cửa,vật kiến trúc",numeric__VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,9.927.682.139,200.127.106.712,210.054.788.851,9927682139.0,200127106712.0,210054788851.0
Chuyển từ hàng tồn kho,Nguyên giá: > Chuyển từ hàng tồn kho,Chuyển từ hàng tồn kho,15.902.155.653,70.089.422.836,85.991.578.489,15902155653.0,70089422836.0,85991578489.0
Chuyển sang tài sản,Nguyên giá: > Chuyển sang tài sản,Chuyển sang tài sản,(810.193.022),(3.514.877.313),(4.325.070.335),-810193022.0,-3514877313.0,-4325070335.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,25.019.644.770,266.701.652.235,291.721.297.005,25019644770.0,266701652235.0,291721297005.0
Trong đó:Dã khấu hao hết,Nguyên giá: > Trong đó:Dã khấu hao hết,Trong đó:Dã khấu hao hết,702.721.672,816.491.827,1.519.213.499,702721672.0,816491827.0,1519213499.0
Giá trị khấu hao và hao mòn lũy kế:,Giá trị khấu hao và hao mòn lũy kế:,Giá trị khấu hao và hao mòn lũy kế:,Giá trị khấu hao và hao mòn lũy kế:,Giá trị khấu hao và hao mòn lũy kế:,Giá trị khấu hao và hao mòn lũy kế:,,,
Số đầu năm,Giá trị khấu hao và hao mòn lũy kế: > Số đầu năm,Số đầu năm,(8.688.915.040),(15.948.625.963),(24.637.541.003),-8688915040.0,-15948625963.0,-24637541003.0
Tăng trong năm,Giá trị khấu hao và hao mòn lũy kế: > Tăng trong năm,Tăng trong năm,(92.460.638),(9.023.829.948),(9.116.290.586),-92460638.0,-9023829948.0,-9116290586.0
Chuyển sang tài sản,Giá trị khấu hao và hao mòn lũy kế: > Chuyển sang tài sản,Chuyển sang tài sản,179.564.056,1.631.164.563,1.810.728.619,179564056.0,1631164563.0,1810728619.0
Số cuối năm,Giá trị khấu hao và hao mòn lũy kế: > Số cuối năm,Số cuối năm,(8.601.811.622),(23.341.291.348),(31.943.102.970),-8601811622.0,-23341291348.0,-31943102970.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,1.238.767.099,184.178.480.749,185.417.247.848,1238767099.0,184178480749.0,185417247848.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,16.417.833.148,243.360.360.887,259.778.194.035,16417833148.0,243360360887.0,259778194035.0
