row_label_raw,row_label_full,col_0,Anabuki,NNH Mizuki,Southgate,Đồng Nai Waterfront,VND Tổng cộng,numeric__Anabuki,numeric__NNH Mizuki,numeric__Southgate,numeric__Đồng Nai Waterfront,numeric__VND Tổng cộng
Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,,,,,
Số đầu năm,Giá trị đầu tư: > Số đầu năm,Số đầu năm,834.000.000,750.000.000.000,916.500.000.000,-,1.667.334.000.000,834000000.0,750000000000.0,916500000000.0,,1667334000000.0
Tăng giá trị đầu tư,Giá trị đầu tư: > Tăng giá trị đầu tư,Tăng giá trị đầu tư,-,-,-,2.913.562.737.723,2.913.562.737.723,,,,2913562737723.0,2913562737723.0
Giảm giá trị đầu tư,Giá trị đầu tư: > Giảm giá trị đầu tư,Giảm giá trị đầu tư,-,-,-,(1.452.619.136.380),(1.452.619.136.380),,,,-1452619136380.0,-1452619136380.0
Số cuối năm,Giá trị đầu tư: > Số cuối năm,Số cuối năm,834.000.000,750.000.000.000,916.500.000.000,1.460.943.601.343,3.128.277.601.343,834000000.0,750000000000.0,916500000000.0,1460943601343.0,3128277601343.0
Phần lũy kế (lỗ) lợi nhuận sau khi mua:,Phần lũy kế (lỗ) lợi nhuận sau khi mua:,Phần lũy kế (lỗ) lợi nhuận sau khi mua:,Phần lũy kế (lỗ) lợi nhuận sau khi mua:,Phần lũy kế (lỗ) lợi nhuận sau khi mua:,Phần lũy kế (lỗ) lợi nhuận sau khi mua:,Phần lũy kế (lỗ) lợi nhuận sau khi mua:,Phần lũy kế (lỗ) lợi nhuận sau khi mua:,,,,,
Số đầu năm,Phần lũy kế (lỗ) lợi nhuận sau khi mua: > Số đầu năm,Số đầu năm,1.166.987.179,138.835.258.286,(948.422.739),-,139.053.822.726,1166987179.0,138835258286.0,-948422739.0,,139053822726.0
"Phần lãi (lỗ) từ công ty liên kết, liên doanh","Phần lũy kế (lỗ) lợi nhuận sau khi mua: > Phần lãi (lỗ) từ công ty liên kết, liên doanh","Phần lãi (lỗ) từ công ty liên kết, liên doanh",1.671.190.731,32.972.769.602,107.753.690.512,(748.849.242),141.648.801.603,1671190731.0,32972769602.0,107753690512.0,-748849242.0,141648801603.0
Cổ tức cổ phiếu ưu đãi,Phần lũy kế (lỗ) lợi nhuận sau khi mua: > Cổ tức cổ phiếu ưu đãi,Cổ tức cổ phiếu ưu đãi,-,(51.989.041.096),(97.107.260.274),-,(149.096.301.370),,-51989041096.0,-97107260274.0,,-149096301370.0
Số cuối năm,Phần lũy kế (lỗ) lợi nhuận sau khi mua: > Số cuối năm,Số cuối năm,2.838.177.910,119.818.986.792,9.698.007.499,(748.849.242),131.606.322.959,2838177910.0,119818986792.0,9698007499.0,-748849242.0,131606322959.0
Giá trị ghi sổ:,Giá trị ghi sổ:,Giá trị ghi sổ:,Giá trị ghi sổ:,Giá trị ghi sổ:,Giá trị ghi sổ:,Giá trị ghi sổ:,Giá trị ghi sổ:,,,,,
Số đầu năm,Giá trị ghi sổ: > Số đầu năm,Số đầu năm,2.000.987.179,888.835.258.286,915.551.577.261,-,1.806.387.822.726,2000987179.0,888835258286.0,915551577261.0,,1806387822726.0
Số cuối năm,Giá trị ghi sổ: > Số cuối năm,Số cuối năm,3.672.177.910,869.818.986.792,926.198.007.499,1.460.194.752.101,3.259.883.924.302,3672177910.0,869818986792.0,926198007499.0,1460194752101.0,3259883924302.0
