row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Quỹ đầu tưphát triển,Quỹ khác thuộcvốn chủ sở hữu,Lợi nhuận sau thuếchưa phân phối,Tổng cộng,numeric__Vốn cổ phần,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tưphát triển,numeric__Quỹ khác thuộcvốn chủ sở hữu,numeric__Lợi nhuận sau thuếchưa phân phối,numeric__Tổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,2.391.369.180.000,988.508.364.367,(86.203.408.000),10.709.490.423,2.216.611.139,1.293.714.724.748,4.600.314.962.677,2391369180000.0,988508364367.0,-86203408000.0,10709490423.0,2216611139.0,1293714724748.0,4600314962677.0
Cổ tức bằng cổ phiếu,Năm trước > Cổ tức bằng cổ phiếu,Cổ tức bằng cổ phiếu,188.556.930.000,-,-,-,-,(188.556.930.000),-,188556930000.0,,,,,-188556930000.0,
Phát hành cổ phiếu,Năm trước > Phát hành cổ phiếu,Phát hành cổ phiếu,17.099.640.000,-,-,-,-,-,17.099.640.000,17099640000.0,,,,,,17099640000.0
Cổ phiếu quỹ,Năm trước > Cổ phiếu quỹ,Cổ phiếu quỹ,-,-,(296.730.939.400),-,-,-,(296.730.939.400),,,-296730939400.0,,,,-296730939400.0
Lợi nhuận thuần trong năm,Năm trước > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,960.564.301.342,960.564.301.342,,,,,,960564301342.0,960564301342.0
Cổ tức bằng tiền công bố,Năm trước > Cổ tức bằng tiền công bố,Cổ tức bằng tiền công bố,-,-,-,-,-,(181.026.448.724),(181.026.448.724),,,,,,-181026448724.0,-181026448724.0
"Trích quỹ khen thưởng,phúc lợi","Năm trước > Trích quỹ khen thưởng,phúc lợi","Trích quỹ khen thưởng,phúc lợi",-,-,-,-,-,(45.578.797.943),(45.578.797.943),,,,,,-45578797943.0,-45578797943.0
Thù lao Hội Đồng Quản Trị,Năm trước > Thù lao Hội Đồng Quản Trị,Thù lao Hội Đồng Quản Trị,-,-,-,-,-,(7.856.460.796),(7.856.460.796),,,,,,-7856460796.0,-7856460796.0
Giao dịch vốn với cổ đôngkhông kiểm soát của công tycon nhưng không làm mấtquyền kiểm soát,Năm trước > Giao dịch vốn với cổ đôngkhông kiểm soát của công tycon nhưng không làm mấtquyền kiểm soát,Giao dịch vốn với cổ đôngkhông kiểm soát của công tycon nhưng không làm mấtquyền kiểm soát,-,-,-,-,-,9.056.030.358,9.056.030.358,,,,,,9056030358.0,9056030358.0
Khác,Năm trước > Khác,Khác,-,-,-,-,-,(1.015.164.680),(1.015.164.680),,,,,,-1015164680.0,-1015164680.0
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,2.597.025.750.000,988.508.364.367,(382.934.347.400),10.709.490.423,2.216.611.139,1.839.301.254.305,5.054.827.122.834,2597025750000.0,988508364367.0,-382934347400.0,10709490423.0,2216611139.0,1839301254305.0,5054827122834.0
